Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,
7,0.819362280880871,0.270960648200462,b0945,b4138,b4123,b0621,b0612,b0723,b1206,,,,,,,,,,,,,,,
22,0.501519583396545,1.03902687505451,b1241,b0351,b2221,b0871,b3115,b1849,b2296,b2779,b2925,b2097,b3617,b1779,b3946,b0825,b0614,b4138,b4123,b0621,b0612,b0723,b1206,b2285
