Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
7,0.239229576977809,0.125064345615523,YPO2161,YPO3992,YPO0347,YPO3142,YPO3141,YPO3520,YPO0921,,,,,,,,,,
7,0.239229576977809,0.125064345613398,YPO2157,YPO2161,YPO3992,YPO0347,YPO3142,YPO0920,YPO3834,,,,,,,,,,
7,0.272212765151413,0.0320092561251975,YPO0918,YPO2161,YPO1109,YPO3142,YPO0920,YPO0921,YPO3834,,,,,,,,,,
8,0.241285778504852,0.11926320789054,YPO2157,YPO0918,YPO2161,YPO3992,YPO0347,YPO3725,YPO3142,YPO1149,,,,,,,,,
13,0.127290797109253,0.356381872929415,YPO0918,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO0921,YPO1149,YPO0439,,,,
13,0.138312371812262,0.331824572279009,YPO0918,YPO2180,YPO2161,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO3142,YPO0060,YPO3358,YPO0921,YPO1149,,,,
13,0.138312371812262,0.331824572279009,YPO2066,YPO2157,YPO0918,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,,,,
13,0.137293124136657,0.019851899284173,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO2067,YPO0921,,,,
13,0.123953530806137,0.236125740024098,YPO2157,YPO0918,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO1149,,,,
13,0.127290797109253,0.356381872929415,YPO2157,YPO0918,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO1149,YPO0439,,,,
13,0.127290797109253,0.356381872929415,YPO2066,YPO0918,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO0921,YPO0439,,,,
14,0.138312371812262,0.33182457227922,YPO0918,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO0060,YPO3358,YPO0921,YPO1149,,,
14,0.138312371812262,0.331824572279181,YPO2066,YPO0918,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO1389,YPO1133,,,
14,0.123953530806137,0.236125740026039,YPO0918,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO2533,YPO0921,,,
14,0.138312371812262,0.331824572279179,YPO2157,YPO0918,YPO2180,YPO0059,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO2533,,,
14,0.138312371812262,0.331824572279181,YPO0918,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO2533,YPO3376,YPO0442,,,
14,0.138312371812263,0.331824572279164,YPO0918,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO2067,YPO3376,YPO0442,,,
15,0.138312371812262,0.331824572279155,YPO0918,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO0060,YPO3358,YPO2533,YPO1389,YPO1133,,
15,0.137293124136663,0.019851899284531,YPO2066,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO1389,YPO1133,,
15,0.0904879246931882,0.469503230495683,YPO0918,YPO2180,YPO2161,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO2533,YPO3117,YPO0921,,
15,0.138312371812263,0.33182457227924,YPO0918,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO0060,YPO3358,YPO3376,YPO1149,YPO0442,,
15,0.0904879246931883,0.469503230495626,YPO2157,YPO0918,YPO2180,YPO2161,YPO0059,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO2067,YPO3761,,
15,0.0904879246931882,0.469503230495683,YPO0918,YPO2180,YPO2161,YPO2016,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO2533,YPO0921,,
15,0.0904879246931884,0.469503230495636,YPO2066,YPO0918,YPO2180,YPO2161,YPO0254,YPO3032,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO0921,,
15,0.0904879246931884,0.469503230495636,YPO3389,YPO2157,YPO0918,YPO2180,YPO2161,YPO0059,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO1149,,
15,0.0904879246931882,0.469503230495683,YPO0918,YPO2180,YPO2161,YPO0059,YPO0254,YPO3032,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO2533,YPO0921,,
15,0.138312371812263,0.331824572279162,YPO0918,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO0060,YPO3358,YPO2067,YPO1389,YPO1133,,
15,0.0904879246931882,0.469503230495683,YPO0918,YPO2180,YPO2161,YPO0059,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO2533,YPO3734,YPO0921,,
15,0.0904879246931884,0.469503230495636,YPO2157,YPO0918,YPO2180,YPO2161,YPO2016,YPO0059,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO1149,,
15,0.0904879246931882,0.469503230495683,YPO2157,YPO0918,YPO2180,YPO2161,YPO2016,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO2533,,
16,0.0904879246931884,0.469503230495627,YPO0918,YPO2180,YPO2161,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO2067,YPO3376,YPO3850,YPO0914,
16,0.0904879246931884,0.469503230495627,YPO0918,YPO2180,YPO2161,YPO0059,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO1389,YPO3734,YPO1149,YPO1133,
16,0.0904879246931883,0.469503230495605,YPO3389,YPO0918,YPO2180,YPO2161,YPO0059,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO3358,YPO2533,YPO3376,YPO0914,
17,0.127884328568473,0.439201414473823,YPO0918,YPO2180,YPO2161,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO3376,YPO0920,YPO2734,YPO3834,YPO0442
