Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.0511290205212971,0.0429409051472782,Rv1448c,Rv1445c,
3,0.0511290205212971,0.0429409051472782,Rv1122,Rv1844c,Rv1448c
3,0.0511290205212971,0.0429409051472782,Rv1448c,Rv1121,Rv1447c
