Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,
2,0.0398154053371557,0.0241435850905343,Rv3356c,Rv2945c,,,,,,,,,,,,
6,0.0172098528097619,0.00705981625728149,Rv2443,Rv3356c,Rv1236,Rv1098c,Rv2920c,Rv1475c,,,,,,,,
7,0.0184314673688487,0.00342648856444175,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1475c,,,,,,,
7,0.0182441678796815,0.00490075217912903,Rv1445c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1475c,,,,,,,
7,0.0172098527264954,0.00705998767981464,Rv2443,Rv3356c,Rv1236,Rv2332,Rv1240,Rv2920c,Rv1475c,,,,,,,
7,0.0217854873215829,0.00165547525222142,Rv1445c,Rv3010c,Rv3356c,Rv2332,Rv0211,Rv2920c,Rv3601c,,,,,,,
8,0.0182441678796815,0.00490075217912903,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1475c,,,,,,
8,0.0182441678796815,0.00490075217912903,Rv3010c,Rv2443,Rv3356c,Rv1121,Rv1447c,Rv1098c,Rv2920c,Rv1475c,,,,,,
8,0.0182441679126408,0.00490079370382135,Rv1445c,Rv3010c,Rv2443,Rv3356c,Rv2332,Rv1240,Rv2920c,Rv1475c,,,,,,
8,0.0184314674278292,0.00342645439835548,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv2332,Rv1240,Rv2920c,Rv1475c,,,,,,
9,0.0172098528097619,0.00705981625728149,Rv2443,Rv3356c,Rv1236,Rv1098c,Rv2920c,Rv1915,Rv0467,Rv3339c,Rv0066c,,,,,
9,0.0181595493572352,0.00665437318083202,Rv1448c,Rv3010c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1098c,Rv2780,Rv1475c,,,,,
9,0.0182441679126408,0.00490079370382135,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv3356c,Rv2332,Rv1240,Rv2920c,Rv1475c,,,,,
9,0.0172098526709843,0.00705987892426581,Rv2443,Rv3356c,Rv1236,Rv1098c,Rv0118c,Rv1837c,Rv2920c,Rv3339c,Rv0066c,,,,,
9,0.0179244455510223,0.0085702394160479,Rv1445c,Rv3010c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1098c,Rv2780,Rv1475c,,,,,
9,0.0182441679126408,0.00490079370382135,Rv3010c,Rv2443,Rv3356c,Rv2332,Rv1240,Rv1121,Rv1447c,Rv2920c,Rv1475c,,,,,
10,0.0184314674278292,0.00342647785027192,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv0118c,Rv1837c,Rv2920c,Rv3339c,Rv0066c,,,,
10,0.0179244455510223,0.0085702394160479,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1098c,Rv2780,Rv1475c,,,,
10,0.0182441678796815,0.00490075217912903,Rv1445c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1915,Rv0467,Rv3339c,Rv0066c,,,,
10,0.0184314673688487,0.00342648856444175,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1915,Rv0467,Rv3339c,Rv0066c,,,,
10,0.0179244454937763,0.0085703109630409,Rv1445c,Rv3010c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv2332,Rv1240,Rv2780,Rv1475c,,,,
11,0.0179244455909212,0.00857027149784346,Rv3010c,Rv2443,Rv3356c,Rv2476c,Rv1121,Rv1447c,Rv1098c,Rv1595,Rv2780,Rv1905c,Rv1475c,,,
11,0.0182441678796815,0.00490075217912903,Rv3010c,Rv2443,Rv3356c,Rv1121,Rv1447c,Rv1098c,Rv2920c,Rv1915,Rv0467,Rv3339c,Rv0066c,,,
11,0.0179244454937763,0.0085703109630409,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv2332,Rv1240,Rv2780,Rv1475c,,,
12,0.0179244455805125,0.00857025010989059,Rv1445c,Rv3010c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv2332,Rv1240,Rv0118c,Rv3339c,Rv0066c,Rv2780,,
14,0.0179244455805125,0.00857025872962363,Rv3010c,Rv2443,Rv3356c,Rv2476c,Rv2332,Rv1240,Rv1121,Rv1447c,Rv0118c,Rv1595,Rv3339c,Rv0066c,Rv2780,Rv1905c
