Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.761422724850781,0.258979284999379,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b0120,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b3709,b2406,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.761394648957861,0.262150461808291,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0596,b3665,b0261,b1701,b1805,b3709,b2406,b3161,b0112,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b1600,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.761394648957856,0.262150461811108,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b0120,b1982,b2797,b3117,b1814,b4471,b0596,b0261,b3709,b2406,b3161,b0112,b2868,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3825,b1473,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.761422724850798,0.258979284949556,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b3709,b2406,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3821,b2965,b0693,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.541903480305698,0.34432330380542,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b0583,b1982,b2797,b3117,b1814,b4471,b0261,b3709,b2406,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1473,b0515,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.756527473004292,0.260474678523764,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0120,b1982,b2797,b3117,b1814,b4471,b3665,b0261,b2342,b3845,b3709,b2406,b3161,b0112,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b1473,b0594,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.75664027683568,0.181486258828329,b2836,b3399,b2502,b2744,b3708,b3008,b0871,b0120,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0507,b3709,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b1473,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.756642027500732,0.181368921364462,b2836,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0583,b0121,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b3709,b2239,b2406,b3161,b0112,b3453,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.467594325290609,1.39921990710876,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b3709,b2406,b3161,b0112,b0114,b2366,b2492,b0904,b3035,b1533,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.467591591433607,1.39921172636773,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1238,b0583,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b3709,b4381,b2406,b3161,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
