Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
4,0.103835687269928,0.0117672393594198,BSU04470,BSU07570,BSU28430,BSU16090,,,,,
6,0.0947043362741214,0.254285598231571,BSU13110,BSU04470,BSU07570,BSU40190,BSU28430,BSU37660,,,
6,0.0947043362741214,0.254285598231571,BSU13110,BSU04470,BSU29470,BSU07570,BSU40190,BSU28430,,,
6,0.0947182984489558,0.254554863797364,BSU04470,BSU29470,BSU11670,BSU07570,BSU40190,BSU28430,,,
6,0.0947182984489558,0.254554863797364,BSU04470,BSU11670,BSU07570,BSU40190,BSU28430,BSU37660,,,
7,0.0947043362845296,0.254285611035725,BSU13110,BSU04470,BSU29470,BSU07570,BSU37120,BSU39670,BSU28430,,
7,0.0947182984489558,0.254554862027179,BSU04470,BSU11670,BSU07570,BSU37120,BSU39670,BSU28430,BSU37660,,
7,0.0947182984489558,0.254554862027179,BSU04470,BSU29470,BSU11670,BSU07570,BSU37120,BSU39670,BSU28430,,
7,0.0947043362845296,0.254285611035725,BSU13110,BSU04470,BSU07570,BSU37120,BSU39670,BSU28430,BSU37660,,
8,0.0947109014907504,0.254601344758817,BSU04470,BSU29470,BSU07570,BSU40190,BSU12160,BSU18570,BSU27220,BSU28430,
8,0.0947109014907504,0.254601344758817,BSU04470,BSU07570,BSU40190,BSU12160,BSU18570,BSU27220,BSU28430,BSU37660,
9,0.0947109015133019,0.254601359560186,BSU04470,BSU07570,BSU37120,BSU39670,BSU12160,BSU18570,BSU27220,BSU28430,BSU37660
9,0.0947109015133019,0.254601359560186,BSU04470,BSU29470,BSU07570,BSU37120,BSU39670,BSU12160,BSU18570,BSU27220,BSU28430
