Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.671304286797179,0.292714606283123,b0871,b2925,b2097,b0521,b1779,b2690,b0505,b3945,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.61033307632638,0.353903465358462,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3708,b3008,b0871,b2779,b3617,b2407,b0521,b1779,b2797,b3117,b1814,b4471,b4388,b0511,b0114,b1539,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.501756439853724,0.296363846091603,b4467,b0469,b0238,b0125,b3831,b4069,b4384,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1638,b0477,b4139,b2498,b0505,b1602,b0511,b4064,b4464,b0114,b0529,b2492,b0904,b3029,b1380,b2660,b2285,,,,,,,,,,,,,,,,,,,,,,
34,0.506984675188192,0.136226275255725,b3553,b4269,b0493,b3588,b3003,b3011,b3926,b0871,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b1033,b1602,b0507,b2913,b4381,b3654,b3714,b3664,b0511,b4064,b4464,b0114,b0529,b2492,b0904,b3029,b1380,b1518,b2285,,,,,,,,,,,,,,,,,,,,
41,0.511844653946517,0.0137373987020979,b3553,b1478,b0238,b0125,b1241,b4069,b2297,b2458,b2779,b1004,b3713,b1109,b0046,b3236,b1638,b0477,b4139,b1033,b4014,b2976,b1602,b0507,b4381,b3915,b3654,b3714,b3664,b0511,b4064,b4464,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b1771,b1517,b2285,b1009,,,,,,,,,,,,,
42,0.511864000008261,0.0137379179712065,b3553,b1478,b0238,b0125,b1241,b4069,b3115,b1849,b2296,b2779,b1004,b3713,b1109,b0046,b3236,b1638,b0477,b4139,b1033,b4014,b0261,b2976,b3945,b1602,b0507,b4381,b3915,b3654,b3714,b3664,b0511,b4064,b4464,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b2285,b1007,,,,,,,,,,,,
43,0.513728971479725,0.0895575367719216,b3553,b1478,b0469,b4382,b0238,b0125,b1241,b4069,b4384,b2297,b2458,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b1033,b1623,b4015,b0505,b1602,b3915,b3654,b3714,b3664,b0511,b4064,b4464,b0755,b3612,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b1771,b2285,b1009,,,,,,,,,,,
44,0.497876370632976,0.0641391101917309,b3553,b1478,b0469,b3846,b0238,b0125,b1241,b0351,b4069,b4384,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b1033,b1623,b4014,b2976,b3945,b1602,b0507,b2913,b3915,b3654,b3714,b3664,b0511,b4064,b4464,b0529,b2492,b0904,b2954,b3029,b1380,b2285,b1011,,,,,,,,,,
45,0.488421094061568,0.203676643350258,b4467,b1478,b2066,b0238,b0125,b0474,b1241,b4069,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b0477,b1525,b4139,b4015,b2661,b2799,b0505,b3945,b1602,b0153,b3654,b3714,b3664,b0511,b4064,b4464,b0529,b2492,b0904,b2954,b0591,b3029,b1380,b2660,b1517,b2285,b1007,,,,,,,,,
46,0.460539765487226,0.242250133993313,b4467,b1478,b0238,b0125,b0474,b2518,b1241,b4069,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b0477,b1302,b2662,b4139,b4015,b0411,b2799,b0505,b3945,b1602,b0153,b2913,b3654,b3714,b3664,b0511,b4064,b4464,b0529,b2492,b0904,b2954,b3035,b3029,b1380,b1517,b2285,b1007,,,,,,,,
50,0.469403870736405,0.130417387706637,b4467,b1478,b0238,b0125,b1241,b3831,b4069,b2744,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b0937,b0477,b4139,b2498,b2361,b2291,b4014,b0261,b2976,b3945,b1602,b2913,b3654,b3714,b3664,b0511,b4064,b4464,b2975,b3603,b0509,b3125,b0529,b2492,b0904,b2954,b1380,b0508,b2285,b1010,,,,
54,0.382996832124045,0.00952948783215235,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b4384,b2744,b0871,b2925,b2097,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b2690,b3908,b1656,b1525,b4139,b0675,b2361,b4015,b2661,b2799,b0505,b3945,b1602,b2342,b3845,b4381,b3915,b3654,b3714,b3664,b0511,b4064,b4464,b2492,b0904,b2954,b1380,b2660,b2285,b1009
