Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,
3,0.868354621687769,0.13445342455512,b2066,b0910,b2498,,,,,,,,,,,,,,,,,,
4,0.868354621687761,0.134453424554769,b3831,b0910,b2143,b2498,,,,,,,,,,,,,,,,,
5,0.868354621687761,0.134453424554677,b3831,b2744,b0910,b2498,b0675,,,,,,,,,,,,,,,,
8,0.770700600913091,0.546540789750519,b4152,b1612,b1611,b4122,b4138,b4123,b0621,b1206,,,,,,,,,,,,,
19,0.595357414398309,0.422196519715743,b4467,b2242,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b2210,b1415,b4138,b4123,b0621,b3028,b1206,b2285,b3893,b1474,,
20,0.595355306913631,0.422195025180498,b2242,b3553,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b2210,b1033,b1415,b4138,b4123,b0621,b2492,b0904,b3028,b1206,b2285,
21,0.595357414398305,0.422196519710207,b2242,b3553,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1033,b1415,b4015,b4138,b4123,b0621,b3028,b1206,b2285,b3893,b1474
