Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
6,0.359606707775676,4.03425397136498,PHATR_10581,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_48078,PHATRDRAFT_42245,Phatr3_EG02247,,,
6,0.359606707775733,3.96149781986442,PHATR_10581,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_31599,PHATRDRAFT_48078,Phatr3_EG02247,,,
6,0.359606707775733,3.96149781986442,PHATR_10581,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02292,,,
6,0.359606707775759,3.96149781986671,PHATR_10581,PHATRDRAFT_30145,PHATRDRAFT_50742,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02292,,,
6,0.35960670777573,3.81598551686489,PHATR_10581,PHATRDRAFT_30145,PHATRDRAFT_50742,PHATRDRAFT_859,Phatr3_EG02247,Phatr3_EG02292,,,
6,0.359606707775741,3.20989049457437,PHATR_10581,PHATRDRAFT_50742,PHATRDRAFT_48078,PHATRDRAFT_42245,Phatr3_EG02247,PHATRDRAFT_36390,,,
6,0.359606707775741,3.20989049457437,PHATR_10581,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,PHATRDRAFT_36390,,,
6,0.359606707775731,3.20989049457404,PHATR_10581,PHATRDRAFT_48983,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,PHATRDRAFT_23365,,,
6,0.359606707775842,2.76533831547716,PHATR_10581,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02292,,,
6,0.359606707775741,3.20989049457437,PHATR_10581,PHATRDRAFT_49112,PHATRDRAFT_50742,PHATRDRAFT_48078,PHATRDRAFT_42245,Phatr3_EG02247,,,
7,0.359606707775731,3.20989049457414,PHATR_10581,Phatr3_EG02215,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,,
7,0.359606707775724,3.2098904945744,PHATR_10581,PHATRDRAFT_49112,PHATRDRAFT_29016,PHATRDRAFT_31599,PHATRDRAFT_50742,PHATRDRAFT_48078,Phatr3_EG02247,,
7,0.359606707775736,3.20989049457387,PHATR_10581,PHATRDRAFT_50742,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02101,PHATRDRAFT_36390,Phatr3_EG02292,,
7,0.359606707775734,2.76533831547632,PHATR_10581,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_23723,Phatr3_EG02247,Phatr3_EG02292,,
7,0.359606707775721,2.98761440502472,PHATR_10581,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02292,,
7,0.359606707775731,2.76533831547556,PHATR_10581,PHATRDRAFT_31599,PHATRDRAFT_19708,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_48078,Phatr3_EG02247,,
7,0.359606707775743,2.98761440502659,PHATR_10581,PHATRDRAFT_48983,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,,
7,0.359606707775732,3.20989049457695,PHATR_10581,Phatr3_EG02215,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_48078,PHATRDRAFT_42245,Phatr3_EG02247,,
8,0.359606707775731,3.20989049457312,PHATR_10581,PHATRDRAFT_48983,PHATRDRAFT_1341,PHATRDRAFT_48078,Phatr3_EG02247,PHATRDRAFT_25572,PHATRDRAFT_23365,PHATRDRAFT_43604,
8,0.359606707775729,3.20989049457384,PHATR_10581,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_859,PHATRDRAFT_20310,Phatr3_EG02247,PHATRDRAFT_23365,Phatr3_EG02292,
8,0.359606707775729,2.98761440502539,PHATR_10581,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_48078,Phatr3_EG02247,PHATRDRAFT_8945,PHATRDRAFT_41686,Phatr3_EG02292,
8,0.359606707775731,3.20989049457433,PHATR_10581,Phatr3_EG02215,PHATRDRAFT_48983,PHATRDRAFT_29016,PHATRDRAFT_22803,PHATRDRAFT_859,Phatr3_EG02247,Phatr3_EG02292,
8,0.359606707775732,3.20989049457485,PHATR_10581,PHATRDRAFT_49112,PHATRDRAFT_31599,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02101,
8,0.359606707775729,3.20989049457382,PHATR_10581,Phatr3_EG02215,PHATRDRAFT_40430,PHATRDRAFT_31599,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_51970,Phatr3_EG02247,
9,0.359606707775731,3.20989049457443,PHATR_10581,Phatr3_EG02215,PHATRDRAFT_48983,PHATRDRAFT_31599,PHATRDRAFT_859,PHATRDRAFT_25932,PHATRDRAFT_11014,Phatr3_EG02247,Phatr3_EG02101
9,0.359606707775731,3.20989049457478,PHATR_10581,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_31599,PHATRDRAFT_22803,PHATRDRAFT_859,Phatr3_EG02247,Phatr3_EG02101,PHATRDRAFT_36390
9,0.359606707775732,3.20989049457485,PHATR_10581,PHATRDRAFT_49112,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_22803,PHATRDRAFT_859,Phatr3_EG02247,Phatr3_EG02101,Phatr3_EG02292
9,0.359606707775842,2.98761440502575,PHATR_10581,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_1341,PHATRDRAFT_859,PHATRDRAFT_20310,Phatr3_EG02247,PHATRDRAFT_43604
9,0.359606707775732,2.76533831547569,PHATR_10581,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_22803,PHATRDRAFT_859,Phatr3_EG02247,PHATRDRAFT_23365,Phatr3_EG02292
