PHATRDRAFT_54086,Phatr3_EG01455,PHATRDRAFT_44603,PHATRDRAFT_31465,PHATRDRAFT_18398,PHATRDRAFT_14618,ADY18528_AT1,ADY18510_AT1,,,,,,,,,,,,,,
PHATRDRAFT_41812,PHATRDRAFT_52539,PHATRDRAFT_51720,PHATRDRAFT_10356,,,,,,,,,,,,,,,,,,
PHATRDRAFT_22187,PHATRDRAFT_32847,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_29885,Phatr3_EG01858,,,,,,,,,,,,,,,,,,,,
Phatr3_EG02222,Phatr3_EG02401,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_20342,PHATRDRAFT_51214,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_42015,PHATRDRAFT_26921,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_9476,PHATRDRAFT_11021,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_41807,PHATRDRAFT_10378,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_42726,Phatr3_EG02241,PHATRDRAFT_15089,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_draft976,PHATRDRAFT_843,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_26293,PHATRDRAFT_20331,PHATRDRAFT_54499,PHATRDRAFT_9078,PHATRDRAFT_55057,PHATRDRAFT_42940,YP_874384_AT1,YP_874369_AT1,YP_874362_AT1,YP_874379_AT1,YP_874377_AT1,YP_874371_AT1,YP_874435_AT1,YP_874370_AT1,YP_874376_AT2,YP_874374_AT1,YP_874444_AT1,YP_874450_AT1,YP_874387_AT1,YP_874385_AT1,YP_874386_AT1,
PHATRDRAFT_10100,PHATRDRAFT_13265,PHATRDRAFT_33017,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_34392,PHATRDRAFT_28620,PHATRDRAFT_17671,PHATRDRAFT_26970,PHATRDRAFT_41645,PHATRDRAFT_31440,PHATRDRAFT_11373,PHATRDRAFT_14260,PHATRDRAFT_11305,PHATRDRAFT_22919,PHATRDRAFT_43944,ADY18506_AT1,ADY18531_AT1,ADY18507_AT1,ADY18504_AT1,ADY18521_AT1,ADY18530_AT1,ADY18501_AT1,ADY18529_AT1,ADY18500_AT1,ADY18533_AT1,ADY18499_AT1
PHATRDRAFT_46133,PHATRDRAFT_12233,Phatr3_EG01164,ADY18532_AT1,,,,,,,,,,,,,,,,,,
PHATRDRAFT_11016,ADY18503_AT1,ADY18505_AT1,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_14444,PHATRDRAFT_9427,,,,,,,,,,,,,,,,,,,,
Phatr3_EG00791,PHATRDRAFT_38985,PHATRDRAFT_35064,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_12043,PHATRDRAFT_10852,PHATRDRAFT_48864,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_15323,PHATRDRAFT_45551,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_20318,YP_874448_AT1,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_42245,PHATRDRAFT_17860,PHATRDRAFT_12373,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_51245,PHATRDRAFT_45886,,,,,,,,,,,,,,,,,,,,
PHATRDRAFT_42543,PHATRDRAFT_44748,,,,,,,,,,,,,,,,,,,,
YP_874382_AT1,YP_874404_AT1,YP_874392_AT1,YP_874393_AT1,YP_874383_AT1,YP_874380_AT1,YP_874367_AT1,,,,,,,,,,,,,,,
YP_874394_AT1,YP_874359_AT1,YP_874358_AT1,YP_874378_AT1,YP_874366_AT1,YP_874428_AT1,YP_874360_AT1,YP_874361_AT1,YP_874487_AT1,,,,,,,,,,,,,
YP_874426_AT1,YP_874424_AT1,YP_874421_AT1,YP_874425_AT1,YP_874406_AT1,YP_874407_AT1,YP_874422_AT1,YP_874423_AT1,,,,,,,,,,,,,,
YP_874417_AT1,YP_874418_AT1,,,,,,,,,,,,,,,,,,,,
