Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,
3,0.214113450271768,1.57886866313694,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,
3,0.211237392167107,1.55766066332042,PHATRDRAFT_30145,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,
3,0.211237392167045,1.55766066331949,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_48983,,,,,,,,,,,,,,,,,,,,,,
3,0.35960670777562,1.17502333096249,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775736,1.17502333096167,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,
3,0.35960670777562,1.17502333096249,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,
4,0.211237392166954,1.55766066331881,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,,,,,,,,,,,,,,,,,
4,0.21123739216705,1.55766066331835,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,
4,0.21123739216705,1.55766066331835,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775736,1.17502333096167,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_11319,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,1.17502333096244,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_859,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777562,1.17502333096249,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_55069,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777573,0.857494024260106,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_41969,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775732,0.857494024260504,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_55069,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777573,0.857494024260106,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_22803,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775725,0.857494024259958,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775732,0.857494024261466,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775733,0.857494024250186,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,1.17502333096292,PHATRDRAFT_14792,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777562,1.17502333096249,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_17720,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,
5,0.21411345027203,1.57886866314191,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_31436,,,,,,,,,,,,,,,,,,,,
5,0.21411345027203,1.57886866314191,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_17720,,,,,,,,,,,,,,,,,,,,
5,0.21411345027203,1.57886866314191,PHATRDRAFT_14792,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_50742,PHATRDRAFT_31436,,,,,,,,,,,,,,,,,,,,
5,0.359606707775731,1.17502333096322,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_51970,,,,,,,,,,,,,,,,,,,,
5,0.359606707775743,0.85749402425873,PHATRDRAFT_14792,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_22803,,,,,,,,,,,,,,,,,,,,
5,0.359606707775842,0.857494024261563,PHATRDRAFT_14792,PHATRDRAFT_45947,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_28068,,,,,,,,,,,,,,,,,,,,
5,0.359606707775786,0.857494024262215,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_19979,,,,,,,,,,,,,,,,,,,,
5,0.359606707775732,0.857494024259909,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_19979,,,,,,,,,,,,,,,,,,,,
5,0.359606707775743,0.85749402425873,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_55069,,,,,,,,,,,,,,,,,,,,
5,0.359606707775786,0.857494024262215,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_11319,,,,,,,,,,,,,,,,,,,,
5,0.359606707775729,1.17502333096191,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_17720,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,
6,0.359606707775731,1.17502333096269,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_859,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,
6,0.359606707775842,0.857494024263304,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_19708,PHATRDRAFT_17720,,,,,,,,,,,,,,,,,,,
6,0.359606707775731,0.85749402426084,PHATRDRAFT_42015,PHATRDRAFT_48983,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_23913,PHATRDRAFT_16649,,,,,,,,,,,,,,,,,,,
6,0.35960670777562,0.857494024258963,PHATRDRAFT_14792,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_23913,PHATRDRAFT_23365,,,,,,,,,,,,,,,,,,,
6,0.359606707775731,0.85749402426005,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_19708,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,
6,0.359606707775732,0.857494024257214,PHATRDRAFT_45947,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_28068,,,,,,,,,,,,,,,,,,,
6,0.359606707775729,0.857494024261649,PHATRDRAFT_13643,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_22803,,,,,,,,,,,,,,,,,,,
6,0.21123739216705,1.55766066331835,PHATRDRAFT_30145,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,,,,,,,,,,,,,,,,,,,
9,0.359606707775733,0.857494024260511,PHATRDRAFT_42015,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_28191,PHATRDRAFT_55069,PHATRDRAFT_23365,,,,,,,,,,,,,,,,
11,0.359606707775732,0.0923259525262303,PHATRDRAFT_draft542,PHATRDRAFT_13951,Phatr3_EG02361,PHATRDRAFT_859,PHATRDRAFT_51970,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_20445,PHATRDRAFT_15536,PHATRDRAFT_8945,,,,,,,,,,,,,,
13,0.359606707775731,0.108410153666282,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_23871,PHATRDRAFT_29016,PHATRDRAFT_13951,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_48078,PHATRDRAFT_draft645,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,
14,0.359606707775729,0.167346939131688,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_23871,PHATRDRAFT_8828,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_13951,Phatr3_EG02361,PHATRDRAFT_19979,PHATRDRAFT_859,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,
25,0.359606707775731,0.0166593703496594,PHATRDRAFT_800,PHATRDRAFT_49601,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_3046,PHATRDRAFT_29016,PHATRDRAFT_38509,PHATRDRAFT_draft1572,PHATRDRAFT_31906,Phatr3_EG02361,PHATRDRAFT_8982,PHATRDRAFT_54731,PHATRDRAFT_43194,PHATRDRAFT_13005,PHATRDRAFT_50084,Phatr3_EG02569,PHATRDRAFT_42245,PHATRDRAFT_15777,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_28181,PHATRDRAFT_8945,PHATRDRAFT_41686
