Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.0496332615658401,1.97637357481159,TM0273,TM1640,TM1217,
4,0.0496378006181933,1.97637141414111,TM0209,TM0289,TM1640,TM1217
