Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.192091452387964,0.0673381004815028,STM3646,STM1749,STM2463,STM2285,STM3526,STM1290,STM0169,STM0861,STM4570,STM4326,STM0321,STM2947,STM3068,STM2141,STM1135,STM0370,STM1448,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3708,,,,,,,,,,,,,,,,
24,0.192120613537182,0.0673168671375845,STM3646,STM1749,STM2463,STM2285,STM3526,STM0322,STM4567,STM4326,STM2947,STM3068,STM2141,STM1135,STM3542,STM4485,STM0370,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3708,,,,,,,,,,,,,,,,
24,0.240095576649716,0.0320510209307961,STM3646,STM0158,STM1749,STM2463,STM4108,STM2285,STM3526,STM1290,STM4570,STM4326,STM1885,STM0321,STM0517,STM2947,STM3529,STM1135,STM4183,STM1448,STM4484,STM2317,STM3179,STM1480,STM4126,STM3708,,,,,,,,,,,,,,,,
24,0.24011675898113,0.0320445624909441,STM1749,STM2463,STM2285,STM3526,STM0322,STM4326,STM0840,STM0842,STM2947,STM1620,STM3542,STM4485,STM0491,STM0370,STM1448,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3708,,,,,,,,,,,,,,,,
24,0.240757773350072,0.0315769492663256,STM2927,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1884,STM0840,STM0842,STM2947,STM1620,STM0370,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2332,STM1124,STM3708,,,,,,,,,,,,,,,,
24,0.255537756674364,0.0272863210548983,STM1463,STM4108,STM2285,STM3526,STM1290,STM4326,STM1511,STM1884,STM0840,STM0842,STM1620,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM1124,STM0007,STM2473,,,,,,,,,,,,,,,,
24,0.257236356759587,0.0264283390907141,STM3646,STM2122,STM4108,STM2285,STM3526,STM0169,STM0861,STM4570,STM4326,STM3709,STM3529,STM1135,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM1124,STM3708,,,,,,,,,,,,,,,,
24,0.256674975777132,0.0244459969372948,STM3646,STM4482,STM4108,STM2285,STM3526,STM0322,STM1290,STM3512,STM3541,STM4326,STM3709,STM3529,STM1135,STM1448,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM2338,STM2466,STM3708,,,,,,,,,,,,,,,,
24,0.256248053033788,0.0244036991277447,STM4108,STM2285,STM3526,STM0322,STM0169,STM0861,STM4326,STM2952,STM3709,STM3529,STM1620,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM4578,STM2338,STM2466,STM3708,,,,,,,,,,,,,,,,
24,0.256270127372791,0.0243975513668247,STM2285,STM3526,STM0322,STM0169,STM4567,STM0861,STM4326,STM0840,STM0842,STM3709,STM1620,STM1448,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM2051,STM3708,,,,,,,,,,,,,,,,
