Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.0498216196417883,0.0418427553464629,Rv1448c,Rv1445c,Rv1200,
4,0.0498216196417883,0.0418427553464629,Rv1122,Rv1844c,Rv1448c,Rv1200
4,0.0498216196417883,0.0418427553464629,Rv1448c,Rv1200,Rv1121,Rv1447c
