Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
1,0.328634584772293,0.0216549816020685,PHATRDRAFT_41812,,,,
3,0.328634584772073,0.0216549816020539,PHATRDRAFT_39711,PHATRDRAFT_46133,Phatr3_EG02359,,
5,0.328634584772498,0.021654981602082,PHATRDRAFT_draft1023,PHATRDRAFT_draft1645,PHATRDRAFT_39711,PHATRDRAFT_11016,Phatr3_EG02359
