Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.776385108880754,0.0891039073776518,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.520355571046446,0.519005907467864,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b0452,b2868,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.520353595025526,0.519017916727025,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0261,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.776385108880803,0.0891039073806768,b3399,b2502,b2744,b3708,b3008,b0871,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.522553308092,0.521226022684216,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b2440,b3665,b0261,b2239,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.522553308092013,0.521226022687433,b4382,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2868,b0114,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.520353595025523,0.519017916730138,b2836,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b2868,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.771405649779195,0.0885013388309324,b2836,b3399,b2744,b3708,b3008,b0871,b0160,b3844,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.522556900016528,0.521229605494203,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b0517,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.522553308091986,0.521226022687315,b4382,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b2868,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.520353595025513,0.519017916725606,b2836,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2868,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
