Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.164488202395324,0.179156349889452,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19979,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,
4,0.164488202396603,0.179156349890884,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_22803,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,
4,0.164488202396477,0.179156349886207,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,,
4,0.21089932039211,0.167632122396637,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_51970,,,,,,,,,,,,,,,,,,,,,,,
4,0.210899320392225,0.167632122396603,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,,
4,0.21089932039211,0.167632122395458,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_11319,,,,,,,,,,,,,,,,,,,,,,,
4,0.164488202396325,0.179156349890738,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_51970,,,,,,,,,,,,,,,,,,,,,,,
4,0.0812917593700021,0.199814648539673,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,,,,,,,,,,,,,,,,,,,
4,0.21089932039211,0.167632122395458,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_31436,,,,,,,,,,,,,,,,,,,,,,,
4,0.0812917593700021,0.199814648539673,PHATRDRAFT_26290,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,,,,,,,,,,,,,,,,,,,
4,0.164488202395879,0.179156349890077,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_859,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,,,
4,0.164488202396376,0.179156349888005,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,
4,0.21089932039169,0.167632122395079,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,
5,0.0812917593701131,0.199814648540753,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_22803,,,,,,,,,,,,,,,,,,,,,,
5,0.0812917593700848,0.19981464854061,PHATRDRAFT_26290,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,,,,,,,,,,,,,,,,,,,,,,
5,0.0812917593698771,0.199814648537861,PHATRDRAFT_30145,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,,,,,,,,,,,,,,,,,,,,,,
5,0.164488202396824,0.179156349892601,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,
5,0.210899320392333,0.1676321223962,PHATRDRAFT_54478,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,
5,0.210899320392665,0.167632122396652,PHATRDRAFT_14792,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_41969,,,,,,,,,,,,,,,,,,,,,,
5,0.210899320392672,0.167632122395736,PHATRDRAFT_14792,PHATRDRAFT_45947,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_28068,,,,,,,,,,,,,,,,,,,,,,
5,0.210899320392276,0.167632122396194,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,
5,0.16448820239619,0.179156349888352,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_31436,,,,,,,,,,,,,,,,,,,,,,
5,0.0812917593698208,0.199814648540493,PHATRDRAFT_14792,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_50742,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,
6,0.0812917593699946,0.199814648539863,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_41969,,,,,,,,,,,,,,,,,,,,,
6,0.164488202396824,0.179156349892601,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_55069,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,
6,0.164488202396266,0.17915634989078,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_859,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,
6,0.210899320392178,0.167632122398927,PHATRDRAFT_14792,PHATRDRAFT_29016,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_28191,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,
6,0.210899320392076,0.167632122395308,PHATRDRAFT_40430,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_41969,,,,,,,,,,,,,,,,,,,,,
6,0.210899320391611,0.167632122395605,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_19708,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,
6,0.210899320392333,0.1676321223962,PHATRDRAFT_54478,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_8982,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,,,,,,,,,,,,,,,,,
6,0.0812917593700428,0.199814648537313,PHATRDRAFT_30145,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,,,,,,,,,,,,,,,,,,,,,
7,0.164488202394699,0.179156349885413,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,
7,0.356719020397138,0.0141330227618814,PHATRDRAFT_34010,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,Phatr3_EG02101,,,,,,,,,,,,,,,,,,,,
7,0.356719020397138,0.0141330227618814,PHATRDRAFT_34010,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_25572,,,,,,,,,,,,,,,,,,,,
7,0.347047027182782,0.0614700375867222,PHATRDRAFT_34010,PHATRDRAFT_26290,PHATRDRAFT_13951,PHATRDRAFT_859,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,,,,,,,,,
8,0.210899320392665,0.167632122396652,PHATRDRAFT_51128,PHATRDRAFT_40430,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,PHATRDRAFT_19979,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,,,,,,,,,,,,,,,
9,0.35671902039714,0.0141330227618604,PHATRDRAFT_3046,Phatr3_EG02269,PHATRDRAFT_13951,PHATRDRAFT_859,PHATRDRAFT_35580,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_25572,,,,,,,,,,,,,,,,,,
21,0.358338341199086,0.0062076850253945,PHATRDRAFT_14792,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_3046,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_13951,PHATRDRAFT_draft1572,PHATRDRAFT_31906,PHATRDRAFT_draft348,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_48078,PHATRDRAFT_44546,PHATRDRAFT_11273,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_28181,Phatr3_EG02292,,,,,,
24,0.356902995646123,0.0132326045214051,PHATRDRAFT_27726,PHATRDRAFT_34010,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_30145,Phatr3_EG02232,PHATRDRAFT_55126,PHATRDRAFT_3046,PHATRDRAFT_34120,PHATRDRAFT_38509,PHATRDRAFT_47090,PHATRDRAFT_1341,PHATRDRAFT_43194,PHATRDRAFT_48078,PHATRDRAFT_20310,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_draft645,PHATRDRAFT_15777,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_12452,Phatr3_EG02611,Phatr3_EG02292,,,
27,0.355250078218091,0.0213223720683349,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_34010,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_49372,Phatr3_EG02269,PHATRDRAFT_draft1572,PHATRDRAFT_31906,PHATRDRAFT_draft348,PHATRDRAFT_19708,PHATRDRAFT_50097,PHATRDRAFT_54731,PHATRDRAFT_43194,PHATRDRAFT_19482,PHATRDRAFT_13005,PHATRDRAFT_50084,Phatr3_EG02569,PHATRDRAFT_23723,PHATRDRAFT_39772,PHATRDRAFT_15777,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_49505,PHATRDRAFT_28181
