Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.724379404658338,0.241472205694563,b0871,b2779,b2925,b2097,b0521,b3946,b0825,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,
14,0.67843261983025,0.876012212494078,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0507,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,
14,0.67843261983025,0.876012212494078,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0507,b4381,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,
14,0.678467921943093,0.875905818808015,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0261,b0505,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,
14,0.678461782580271,0.875897892839855,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0261,b0507,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,
14,0.678438758665249,0.876020139128714,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0505,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,
14,0.678438758665249,0.876020139128714,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0505,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,
15,0.70752876240768,1.00291725649064,b1241,b0351,b4069,b2297,b2458,b2925,b2097,b3617,b0521,b3946,b0825,b4381,b0114,b2492,b0904,,,,,,,,,,,,
15,0.678438758665261,0.876020139129492,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0505,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,
15,0.678432619830247,0.876012212469975,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0507,b4381,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,
15,0.678461782580271,0.875897892852293,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0521,b0261,b0507,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,
15,0.661404758223266,0.337553723956796,b1241,b0351,b4069,b2297,b2458,b2925,b2097,b0521,b1779,b2690,b3945,b0114,b0529,b2492,b0904,,,,,,,,,,,,
15,0.7108965211075,0.29902105822922,b4069,b3115,b1849,b2296,b2779,b2925,b2097,b0521,b2690,b3945,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,
15,0.678432619830258,0.876012212486956,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0521,b0507,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,
15,0.678432619830247,0.876012212469975,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0507,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,
15,0.678438758665261,0.876020139129492,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0505,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,
15,0.707528762407684,1.00291725649776,b1241,b0351,b4069,b2297,b2458,b2925,b2097,b3617,b0521,b2690,b3945,b4381,b0114,b2492,b0904,,,,,,,,,,,,
15,0.678461782580269,0.875897892852295,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0261,b0507,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,
16,0.707528762407688,1.00291725650173,b1241,b0351,b4069,b3115,b1849,b2296,b2925,b2097,b3617,b0521,b2690,b3945,b4381,b0114,b2492,b0904,,,,,,,,,,,
16,0.707528762407687,1.00291725647492,b1241,b0351,b4069,b2297,b2458,b2925,b2097,b0521,b2690,b3616,b3589,b3945,b4381,b0114,b2492,b0904,,,,,,,,,,,
16,0.678432811667151,0.876012460199293,b1241,b0351,b4069,b2297,b2458,b3124,b0521,b3616,b3589,b4381,b0114,b0529,b2492,b0904,b0514,b1518,,,,,,,,,,,
16,0.678432619830241,0.876012212496542,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b4381,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b1517,,,,,,,,,,,
