Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,
2,0.351664599853411,0.00555293548714759,PHATRDRAFT_draft521,PHATRDRAFT_42245,,,,,,,,,
2,0.351664599853412,0.00555293548704024,PHATRDRAFT_draft521,PHATRDRAFT_20310,,,,,,,,,
2,0.35166459985341,0.00555293548719978,PHATRDRAFT_draft521,PHATRDRAFT_48078,,,,,,,,,
2,0.351664599853411,0.00555293548719623,PHATRDRAFT_draft521,PHATRDRAFT_23913,,,,,,,,,
3,0.351664599853453,0.00555293548719837,PHATRDRAFT_draft521,PHATRDRAFT_55192,PHATRDRAFT_35240,,,,,,,,
3,0.35166459985341,0.00555293548758203,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068,,,,,,,,
3,0.351664599853412,0.00555293548737337,PHATRDRAFT_draft521,PHATRDRAFT_25932,PHATRDRAFT_11014,,,,,,,,
5,0.347002768520694,0.00881237855897904,PHATRDRAFT_draft521,PHATRDRAFT_30145,PHATRDRAFT_36257,PHATRDRAFT_20318,PHATRDRAFT_49903,,,,,,
5,0.347002768520694,0.00881237855897904,PHATRDRAFT_draft521,PHATRDRAFT_30145,PHATRDRAFT_36257,PHATRDRAFT_14962,PHATRDRAFT_47293,,,,,,
6,0.355108301030843,0.00314518043495302,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_26290,PHATRDRAFT_49339,PHATRDRAFT_draft1572,PHATRDRAFT_19708,,,,,
7,0.320738966416377,0.0271754126753686,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_draft1572,PHATRDRAFT_19708,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,
8,0.320738966416378,0.0271754126753695,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,Phatr3_EG02251,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_25932,PHATRDRAFT_11014,,,
8,0.320738966416375,0.0271754126753461,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_40430,Phatr3_EG02251,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_20310,,,
9,0.289654997962295,0.0489085939918995,PHATRDRAFT_30145,Phatr3_EG02261,PHATRDRAFT_34120,PHATRDRAFT_49339,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,,
10,0.320738966416351,0.0271754126753625,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_draft1572,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_48078,PHATRDRAFT_8945,PHATRDRAFT_41686,
11,0.320738966416379,0.0271754126753636,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_25932,PHATRDRAFT_11014
