Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803841785430239,0.0139699721619877,b3916,b3708,b3008,b1851,b1200,b2797,b3117,b1814,b4471,b0261,b4381,b2868,b2366,b1723,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.446607344391722,0.222730481425828,b2836,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1238,b3236,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2210,b0261,b4381,b2406,b0112,b2868,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b0508,b3662,,,,,,,,,,,,,,,,,,,,,
36,0.506441295334506,0.252577467222295,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b3617,b1238,b2883,b1982,b2797,b3117,b1814,b4471,b3449,b1623,b0261,b0507,b4381,b2406,b0112,b4064,b4464,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,
38,0.451309232907058,0.225075391141538,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2779,b3617,b1238,b2883,b1779,b1982,b2797,b3117,b1814,b4471,b2440,b1623,b0261,b0411,b4381,b2406,b0112,b2789,b3127,b0452,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,
38,0.412666375830811,0.00235332427467938,b3399,b2066,b1241,b0351,b4069,b2502,b2744,b3708,b0910,b2297,b2458,b2779,b1850,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b2498,b0675,b2361,b0261,b0335,b0507,b4381,b2406,b0112,b0452,b2868,b0114,b0728,b2366,b2492,b0904,b1533,b1380,,,,,,,,,,,,,,,,,,
40,0.510409637377174,0.239158985850247,b3553,b0474,b2518,b1241,b0351,b3831,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2781,b2407,b1759,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b4161,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b3821,b3918,b4042,b3662,,,,,,,,,,,,,,,,
40,0.513432504693503,0.238336309972539,b3399,b1241,b0351,b3831,b4069,b2502,b2744,b1278,b3708,b3614,b0910,b3752,b2297,b2458,b2781,b1759,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b1701,b1805,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3918,,,,,,,,,,,,,,,,
40,0.618869663910075,0.149159595073676,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b4384,b2744,b3708,b3008,b3752,b0871,b3617,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0112,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b4141,b1798,b3662,,,,,,,,,,,,,,,,
42,0.448311631988257,0.223586460077132,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b2779,b2926,b3236,b2883,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b3449,b2210,b4374,b2361,b2291,b0261,b0411,b4381,b0112,b2789,b3127,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,
43,0.413535482735794,0.0984680607915788,b4467,b2836,b1478,b4382,b1241,b4069,b4384,b3708,b2297,b2458,b2926,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0261,b2799,b3945,b1602,b2913,b2406,b3915,b2366,b2492,b0904,b1533,b1380,b1695,b4141,b1798,b3662,b0606,b2285,b1007,b4209,,,,,,,,,,,,,
45,0.421861721269048,0.0911962107110182,b3553,b1478,b3399,b1241,b4069,b2744,b3708,b2297,b2458,b2926,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b1033,b0675,b2361,b0261,b1701,b1805,b2799,b3945,b1602,b2913,b4381,b2406,b3915,b2366,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1009,,,,,,,,,,,
45,0.3763768753409,0.1461211976084,b4467,b1478,b4382,b1241,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b2920,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2799,b3945,b1602,b2342,b3845,b2239,b2406,b3915,b0728,b2366,b2492,b0904,b1533,b1380,b2660,b3662,b0606,b2285,b1011,b4209,,,,,,,,,,,
46,0.423166433403945,0.0896284913714239,b4467,b3399,b4382,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b1701,b1805,b0335,b2799,b3945,b1602,b2913,b4381,b2406,b1727,b0114,b0728,b1539,b2492,b0904,b1533,b1380,b0606,b2285,b1010,,,,,,,,,,
47,0.419675854509808,0.0999299617845966,b2836,b3553,b1478,b3399,b1241,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b2913,b3915,b1539,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b0221,b2285,b1009,b4209,,,,,,,,,
47,0.414984631208701,0.0957212976685469,b4467,b1478,b3399,b4382,b1241,b4069,b2744,b3708,b3115,b1849,b2296,b2926,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b2799,b3945,b1602,b2342,b3845,b2913,b4381,b2406,b3915,b1539,b2492,b0904,b1533,b2835,b1380,b0494,b4141,b1798,b0606,b2285,b1010,b4209,,,,,,,,,
49,0.481384301630161,0.0298404111054538,b3553,b1478,b4382,b1241,b4069,b4384,b3708,b3752,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b0121,b1982,b4139,b2797,b3117,b1814,b4471,b1033,b1623,b0261,b2799,b3945,b1602,b0507,b2913,b2406,b3915,b0452,b2366,b2492,b0904,b2954,b1533,b3029,b1380,b1301,b4141,b1798,b3662,b2285,b1011,,,,,,,
50,0.384794449235705,0.140695095669599,b4467,b1478,b4382,b3942,b1732,b1241,b4069,b4384,b3708,b2297,b2458,b2779,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b2920,b1982,b2797,b3117,b1814,b4471,b3551,b0261,b1701,b1805,b2799,b3945,b1602,b4219,b1832,b1778,b2406,b3915,b0728,b2366,b2492,b0904,b1533,b1380,b1710,b2480,b3662,b0606,b2285,b1010,,,,,,
51,0.505564053237483,0.0116469178316692,b3553,b1478,b3399,b1241,b0351,b2502,b2744,b3708,b3008,b0871,b1004,b3713,b1109,b0046,b3236,b1779,b0207,b3012,b2920,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b2799,b1602,b3915,b0728,b2366,b2492,b0904,b1781,b3001,b1533,b3927,b3821,b1380,b0325,b2660,b1771,b1517,b0606,b0221,b2285,b1010,b4209,,,,,
54,0.366808919128275,0.0878531114506466,b4467,b1478,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b2926,b0030,b1238,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b1982,b2797,b3117,b1814,b4471,b4015,b0261,b0411,b0335,b2799,b1602,b2913,b4381,b2406,b3915,b4064,b4464,b0728,b2366,b2492,b0904,b1781,b3001,b1533,b2835,b1380,b0325,b0494,b1771,b0606,b0221,b2285,b1009,b4209,,
54,0.481384301630168,0.0298404111369082,b3553,b1478,b1241,b4069,b4384,b2744,b3708,b2297,b2458,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b2937,b3908,b1656,b1982,b0477,b4139,b2797,b3117,b1814,b4471,b1033,b4374,b2361,b2291,b0261,b1701,b1805,b2799,b3945,b1602,b0507,b2406,b3915,b1539,b2492,b0904,b2954,b1533,b1380,b2660,b1695,b4141,b1798,b3662,b2285,b1008,,
56,0.408841829023445,0.0346082469420139,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b1278,b3708,b3008,b1479,b0871,b2779,b2926,b0160,b1238,b1747,b3124,b3236,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b0675,b2361,b1014,b0261,b0822,b4381,b2406,b0112,b2868,b2975,b0114,b3603,b2366,b0306,b3605,b2492,b0904,b1533,b2835,b1380,b0325,b0508,b0494,b0514,b4266
