Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.797981217606001,0.162759973029665,b3708,b3008,b3752,b0871,b2407,b2797,b3117,b1814,b4471,b4381,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3821,b1517,,,,,,,,,,,,,,,,,,,,,,,,
20,0.64473687695057,1.23590869179324,b2066,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b2407,b3236,b2498,b0261,b2868,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
21,0.775350148384474,0.308494249528604,b4069,b3708,b3752,b2297,b2458,b2407,b2797,b3117,b1814,b4471,b2440,b0261,b4381,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,
21,0.770486271976138,0.306549880057767,b4069,b2744,b3708,b3115,b1849,b2296,b2797,b3117,b1814,b4471,b4381,b0452,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b1518,,,,,,,,,,,,,,,,,,,,,,,
21,0.797981217606025,0.162759973030353,b3708,b3008,b3752,b0871,b2407,b2797,b3117,b1814,b4471,b4381,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3825,b0494,b1511,,,,,,,,,,,,,,,,,,,,,,,
21,0.803883841905617,0.111251574976127,b4382,b0238,b0125,b4384,b3708,b3008,b0871,b2883,b0477,b2797,b3117,b1814,b4471,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b3821,,,,,,,,,,,,,,,,,,,,,,,
22,0.649370983070434,1.24522892685266,b2066,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b2407,b2498,b0261,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,
22,0.649370983070174,1.24522892684173,b2066,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b2498,b0261,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,
22,0.649370983070414,1.24522892684978,b1241,b0351,b3831,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b2498,b0261,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,
22,0.784262207851586,0.199853381568845,b4382,b0238,b0125,b4069,b4384,b3708,b0910,b2297,b2458,b2883,b0477,b2797,b3117,b1814,b4471,b2868,b4064,b4464,b0114,b1539,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,
