Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,
2,0.208663405111056,0.0560624389577715,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,,,,,,
2,0.20866340511025,0.056062438957555,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,,,,,,
3,0.208663405110515,0.0560624389576262,PHATRDRAFT_10454,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,,,,,
3,0.281880000520662,0.0500023629936965,PHATRDRAFT_19708,PHATRDRAFT_10454,PHATRDRAFT_43469,,,,,,,,
3,0.295321532857216,0.0449466857661176,PHATRDRAFT_19708,PHATRDRAFT_10454,PHATRDRAFT_18064,,,,,,,,
4,0.295321532857215,0.0449466857661422,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_18064,,,,,,,
4,0.301452322882983,0.040660181247093,PHATRDRAFT_55192,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,,,,,,,
4,0.301452322883094,0.0406601812471805,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,,,,,
4,0.301452322882983,0.040660181247093,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,,,,
4,0.301452322883205,0.0406601812472736,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_19708,PHATRDRAFT_23913,,,,,,,
6,0.24938366385281,0.0526920574220256,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_17720,PHATRDRAFT_10693,,,,,
6,0.301452322883206,0.0406601812472324,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,,
6,0.301452322883108,0.0406601812471599,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_40430,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_23365,,,,,
7,0.301452322883094,0.0406601812471248,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_20143,PHATRDRAFT_20310,PHATRDRAFT_20445,PHATRDRAFT_44384,PHATRDRAFT_22019,,,,
7,0.301452322883095,0.0406601812471806,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_20445,,,,
7,0.301452322883094,0.0406601812471804,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_29016,PHATRDRAFT_20310,PHATRDRAFT_31367,,,,
8,0.301452322883094,0.0406601812471904,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_20445,PHATRDRAFT_23365,,,
11,0.281880000519929,0.0500023629935668,PHATRDRAFT_13643,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_37711,PHATRDRAFT_43463,PHATRDRAFT_48799,PHATRDRAFT_1971,PHATRDRAFT_46753,PHATRDRAFT_50397,PHATRDRAFT_54974
