Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.527098700696415,0.518769662724367,b4382,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.513270752454524,0.983669795408701,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.513270752454471,0.983669795402591,b3399,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b2407,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.515041282300152,0.973586398739359,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b1982,b0675,b2361,b0261,b0411,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.540620484672368,0.878713993689004,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.527098700696464,0.5187696627334,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b3617,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.540620484672396,0.878713993686359,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.540620484672354,0.878713993691683,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b0160,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.540620484672354,0.878713993691689,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.527098700696415,0.518769662729358,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.561142252310538,0.443378881719095,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.561142252310512,0.443378881716025,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0030,b2407,b1982,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.526998362007858,0.519339319144641,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0160,b3665,b0675,b2361,b4381,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.527098700696454,0.518769662728796,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2883,b1982,b1623,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.527085530127575,0.518756700276984,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2883,b1982,b0261,b0411,b4381,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.51317541412667,0.984176276606702,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0030,b2407,b2883,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,
25,0.51320658108515,0.984121090839477,b1241,b0351,b4069,b2297,b2458,b0030,b2407,b2883,b3616,b3589,b0261,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
25,0.514943563102046,0.973977901255498,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b3616,b3589,b1623,b3665,b0675,b2361,b0261,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
25,0.526998362007913,0.519339319146672,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b3617,b3665,b0675,b2361,b2291,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,
25,0.527098700696436,0.518769662729802,b3399,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b1238,b2883,b1982,b3616,b3589,b1623,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
26,0.514945874599954,0.974097621159669,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0160,b3616,b3589,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,
26,0.527030093631857,0.51929188644189,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b2407,b3616,b3589,b1623,b3665,b0261,b0411,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,
