Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,
3,0.223128402446657,0.227320538871055,YPO2824,YPO2705,YPO1383,,,,,,,,,,,
7,0.243691261322896,0.149968862505468,YPO2157,YPO2161,YPO3992,YPO0347,YPO3142,YPO3141,YPO0920,,,,,,,
7,0.231220957440178,0.196878629089336,YPO2157,YPO2161,YPO3992,YPO0347,YPO3142,YPO1149,YPO0439,,,,,,,
8,0.231220957440178,0.196878629089697,YPO2066,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO0436,YPO3142,,,,,,
9,0.241086513977945,0.15976718748248,YPO2066,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3142,YPO1133,YPO0442,,,,,
9,0.241086513977952,0.159767187478699,YPO2157,YPO2180,YPO0059,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO1149,,,,,
9,0.243691261322893,0.14996886250546,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO3141,YPO3520,YPO1389,YPO1133,,,,,
9,0.243691261322896,0.149968862505727,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO3141,YPO3520,YPO1133,YPO0442,,,,,
9,0.241086513977945,0.15976718748248,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO3142,YPO0914,YPO1149,YPO1133,,,,,
10,0.231220957440161,0.196878629085542,YPO2614,YPO1541,YPO3992,YPO0347,YPO0254,YPO0436,YPO3142,YPO2533,YPO3376,YPO1389,,,,
10,0.24108651397795,0.159767187481696,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO0060,YPO1389,YPO1149,YPO1133,,,,
12,0.218404457850432,0.242542634282401,YPO0357,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO3358,YPO2533,YPO0921,,
12,0.21886119535127,0.231809402125106,YPO0357,YPO2157,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO2533,,
12,0.15436888981965,0.484173464808692,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO2288,YPO2824,YPO3142,YPO0440,YPO3358,YPO2533,YPO0921,,
12,0.218404457850432,0.242542634284739,YPO0357,YPO2157,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO2288,YPO3142,YPO3358,YPO2559,YPO2067,,
13,0.218404457850432,0.242542634283036,YPO0357,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO2288,YPO3142,YPO3358,YPO2559,YPO2533,YPO0914,YPO1133,
13,0.15436888981965,0.484173464809619,YPO2180,YPO2161,YPO3992,YPO0347,YPO2288,YPO2824,YPO3142,YPO0060,YPO3358,YPO2559,YPO2067,YPO1133,YPO0442,
13,0.146978329908957,0.506010282341311,YPO2180,YPO2161,YPO0059,YPO3992,YPO0347,YPO2288,YPO2824,YPO0436,YPO3142,YPO3358,YPO2533,YPO0914,YPO1133,
14,0.218404457850432,0.242542634284591,YPO0357,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0060,YPO3358,YPO2559,YPO2533,YPO3376,YPO0442
