Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,
16,0.341106898155402,0.0452712146736948,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_49229,PHATRDRAFT_30145,PHATRDRAFT_draft1572,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_14356,PHATRDRAFT_48078,PHATRDRAFT_42245,PHATRDRAFT_50804,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,,,,,,,,
16,0.341106898155442,0.0452712146736481,PHATRDRAFT_49229,PHATRDRAFT_26290,PHATRDRAFT_draft1186,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_34392,PHATRDRAFT_14356,PHATRDRAFT_48078,PHATRDRAFT_42245,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_15536,,,,,,,,
16,0.341993948634333,0.0431004975973311,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_42015,PHATRDRAFT_49601,PHATRDRAFT_49372,PHATRDRAFT_draft1572,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,,,,,,,,
16,0.341993948634441,0.0431004975969293,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_49112,PHATRDRAFT_49601,PHATRDRAFT_49372,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,,,,,,,,
17,0.246217964643603,0.102275909604099,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_48983,PHATRDRAFT_36256,PHATRDRAFT_29157,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_21181,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_42245,PHATRDRAFT_50804,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_15536,,,,,,,
17,0.341993948634392,0.0431004975969628,PHATRDRAFT_20192,PHATRDRAFT_49372,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_31599,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_16375,PHATRDRAFT_50804,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_15536,PHATRDRAFT_46728,,,,,,,
18,0.314645296739787,0.110025872310025,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_49229,PHATRDRAFT_49601,PHATRDRAFT_49372,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,,,,,,
19,0.221448140956584,0.0721773193738284,PHATRDRAFT_42015,PHATRDRAFT_36257,PHATRDRAFT_draft1186,PHATRDRAFT_49372,PHATRDRAFT_29157,PHATRDRAFT_draft1572,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_42245,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_15536,,,,,
19,0.34199394863444,0.0431004975969553,PHATRDRAFT_20192,PHATRDRAFT_42015,PHATRDRAFT_55192,PHATRDRAFT_draft1186,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_draft1572,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_48078,PHATRDRAFT_35240,PHATRDRAFT_16375,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_15536,Phatr3_EG02292,,,,,
19,0.244708038397492,0.00262933322498823,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_26290,PHATRDRAFT_49372,PHATRDRAFT_29157,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_13175,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_42245,PHATRDRAFT_50804,PHATRDRAFT_44482,PHATRDRAFT_43697,,,,,
20,0.341993948634396,0.043100497596913,PHATRDRAFT_20192,PHATRDRAFT_32923,PHATRDRAFT_26934,PHATRDRAFT_42015,PHATRDRAFT_draft1186,PHATRDRAFT_49372,PHATRDRAFT_29016,PHATRDRAFT_31599,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_48078,PHATRDRAFT_16375,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_15536,PHATRDRAFT_51245,,,,
22,0.330504099985812,0.071217511520416,PHATRDRAFT_20192,PHATRDRAFT_26934,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_45947,PHATRDRAFT_draft976,PHATRDRAFT_49601,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_13175,PHATRDRAFT_48078,PHATRDRAFT_44982,PHATRDRAFT_16375,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_20445,Phatr3_EG02292,,
23,0.353359441190594,0.0152877976747534,PHATRDRAFT_20192,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_45947,PHATRDRAFT_49229,PHATRDRAFT_55192,PHATRDRAFT_49601,PHATRDRAFT_48983,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_34392,PHATRDRAFT_859,PHATRDRAFT_28068,PHATRDRAFT_16375,PHATRDRAFT_34672,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_25572,PHATRDRAFT_44384,Phatr3_EG02292,
24,0.330504099986646,0.0712175115218026,PHATRDRAFT_25840,Phatr3_EG02222,Phatr3_EG02232,PHATRDRAFT_26290,PHATRDRAFT_draft1186,PHATRDRAFT_49372,PHATRDRAFT_31599,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_27166,PHATRDRAFT_45592,PHATRDRAFT_34392,PHATRDRAFT_50097,PHATRDRAFT_50971,PHATRDRAFT_48078,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23913,PHATRDRAFT_34672,PHATRDRAFT_51970,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_15536
24,0.341106898155464,0.0452712146741659,PHATRDRAFT_49229,PHATRDRAFT_54219,PHATRDRAFT_30145,PHATRDRAFT_draft1186,PHATRDRAFT_draft1572,PHATRDRAFT_46664,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_27166,PHATRDRAFT_45592,PHATRDRAFT_34392,PHATRDRAFT_13175,PHATRDRAFT_859,PHATRDRAFT_39914,PHATRDRAFT_48307,PHATRDRAFT_draft765,PHATRDRAFT_16375,PHATRDRAFT_34672,PHATRDRAFT_51970,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,Phatr3_EG02101,PHATRDRAFT_15536
