Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,
13,0.361957012634334,0.388916837793198,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM3709,STM0694,STM3045,STM0974,STM0152,STM0542,STM0935,,,,,,
13,0.361957012634286,0.38891683778339,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM0694,STM3045,STM0974,STM0152,STM0542,STM0935,STM3708,,,,,,
13,0.364435242055422,0.371643588925554,STM3747,STM0051,STM1749,STM2463,STM3680,STM4568,STM4570,STM0974,STM0152,STM0542,STM0935,STM2422,STM3708,,,,,,
13,0.364435242055429,0.371643588925489,STM3747,STM0051,STM1749,STM2463,STM3680,STM4567,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,,,,,,
13,0.364435242055436,0.371643588926536,STM3747,STM0051,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0542,STM0935,STM4569,STM3968,STM3708,,,,,,
13,0.364435242055409,0.371643588925136,STM3747,STM0051,STM1749,STM2463,STM3680,STM4568,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,,,,,,
13,0.364435242055395,0.371643588921489,STM3747,STM0051,STM1749,STM2463,STM3680,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM4569,STM3968,,,,,,
13,0.364435242055443,0.371643588925881,STM3747,STM0051,STM1749,STM2463,STM3680,STM4567,STM4570,STM0974,STM0152,STM0542,STM0935,STM2422,STM3708,,,,,,
13,0.119812123712241,0.0817431692861337,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM3709,STM2081,STM0694,STM3045,STM0974,STM0152,STM0935,,,,,,
13,0.364435242055451,0.00271358481640309,STM3747,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0542,STM0935,STM4569,STM3885,STM3793,STM3708,,,,,,
13,0.364435242055451,0.00271358481633336,STM3747,STM0051,STM1749,STM2463,STM0661,STM3680,STM4570,STM0974,STM0152,STM0542,STM0935,STM4569,STM3708,,,,,,
13,0.36443524205543,0.00271358481234475,STM3747,STM1749,STM2463,STM3680,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM4569,STM3885,STM3793,,,,,,
13,0.36443524205543,0.00271358481234473,STM3747,STM0051,STM1749,STM2463,STM0661,STM3680,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM4569,,,,,,
13,0.196149770158364,0.00146053118966155,STM2927,STM3747,STM3091,STM0169,STM0861,STM4570,STM0974,STM0152,STM0785,STM0542,STM0935,STM0007,STM2473,,,,,,
13,0.361957012634328,0.388916837792278,STM2927,STM3747,STM1749,STM2463,STM3680,STM4570,STM3709,STM0694,STM3045,STM0974,STM0152,STM0542,STM0935,,,,,,
14,0.360540391614209,0.440873838427407,STM2927,STM3747,STM1749,STM2463,STM4275,STM4570,STM0694,STM3045,STM0974,STM0152,STM0542,STM2338,STM2466,STM3708,,,,,
14,0.360540391614306,0.440873838447399,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM3709,STM0694,STM3045,STM0974,STM0152,STM0542,STM2338,STM2466,,,,,
14,0.362866960350173,0.423868525086221,STM3747,STM0051,STM1749,STM2463,STM4275,STM4570,STM3709,STM0974,STM0152,STM0542,STM4569,STM2338,STM2466,STM3968,,,,,
14,0.362866960349925,0.42386852505455,STM3747,STM0051,STM1749,STM2463,STM4275,STM4568,STM4570,STM3709,STM0974,STM0152,STM0542,STM2338,STM2466,STM2422,,,,,
14,0.364435242055332,0.371643588924238,STM2927,STM3747,STM1749,STM2463,STM3680,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,STM2332,STM4559_S,,,,,
14,0.364435242055634,0.371643588928696,STM2927,STM3747,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0542,STM0935,STM2332,STM0208,STM3708,STM4559_S,,,,,
14,0.364435242055318,0.37164358892387,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM0974,STM0152,STM0542,STM0935,STM2332,STM0208,STM3708,STM4559_S,,,,,
14,0.364435242055429,0.371643588925499,STM3747,STM1749,STM2463,STM3680,STM4567,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,STM3885,STM3793,,,,,
14,0.364435242055387,0.371643588924898,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM3709,STM0974,STM0152,STM0542,STM0935,STM2332,STM0208,STM4559_S,,,,,
14,0.364435242055395,0.371643588881796,STM3747,STM0051,STM1749,STM2463,STM3680,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,STM3968,STM2498,,,,,
14,0.362866960350173,0.002701907422255,STM3747,STM0051,STM1749,STM2463,STM4275,STM0661,STM4570,STM0974,STM0152,STM0542,STM4569,STM2338,STM2466,STM3708,,,,,
14,0.362866960349904,0.00270190738598879,STM3747,STM1749,STM2463,STM4275,STM4570,STM3709,STM0974,STM0152,STM0542,STM4569,STM2338,STM2466,STM3885,STM3793,,,,,
14,0.36286696035009,0.423868525057837,STM3747,STM0051,STM1749,STM2463,STM4275,STM4570,STM3709,STM0974,STM0152,STM0542,STM4569,STM2338,STM2466,STM2422,,,,,
14,0.179221980082524,0.00133448686432341,STM3009,STM2927,STM3747,STM0169,STM0861,STM4570,STM0506,STM0974,STM0152,STM0785,STM0542,STM0935,STM0007,STM2473,,,,,
15,0.169287019400164,1.27918153327486,STM3747,STM1749,STM2463,STM3680,STM4570,STM2081,STM0974,STM0152,STM0542,STM0935,STM2422,STM3885,STM3793,STM0007,STM2473,,,,
15,0.362866960349973,0.423868525055523,STM2927,STM3747,STM1749,STM2463,STM4275,STM4570,STM0974,STM0152,STM0542,STM2338,STM2466,STM2422,STM2332,STM3708,STM4559_S,,,,
15,0.364435242055416,0.371643588904605,STM3747,STM1749,STM2463,STM2122,STM3680,STM4570,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,STM3885,STM3793,STM2498,,,,
15,0.364435242055412,0.371643588900557,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM3709,STM0974,STM0152,STM0542,STM0935,STM2332,STM3968,STM0208,STM2498,,,,
15,0.364435242055373,0.371643588860684,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM0974,STM0152,STM0542,STM0935,STM2332,STM3968,STM0208,STM2498,STM3708,,,,
16,0.36286696035025,0.423868525100057,STM2927,STM3747,STM1749,STM2463,STM4275,STM4570,STM0974,STM0152,STM0542,STM2338,STM2466,STM2332,STM3968,STM0208,STM2498,STM3708,,,
16,0.362866960349897,0.423868525052757,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM3709,STM0974,STM0152,STM0542,STM2338,STM2466,STM2332,STM3968,STM0208,STM2498,,,
17,0.362866960349904,0.423868525054202,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM3709,STM0974,STM0152,STM0542,STM2502,STM2501,STM2338,STM2466,STM2332,STM2467,STM4559_S,,
17,0.364435242055429,0.371643588925522,STM2927,STM1463,STM3747,STM1749,STM2463,STM3680,STM1718,STM3709,STM0974,STM0152,STM0542,STM0935,STM2502,STM2501,STM2332,STM2050,STM4559_S,,
17,0.368923753114331,0.286243420752877,STM2927,STM3747,STM1749,STM2463,STM4275,STM4567,STM4570,STM1511,STM3709,STM0974,STM0152,STM2338,STM2466,STM2196,STM3240,STM2971,STM1826,,
17,0.36892375311422,0.286243420726225,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM3709,STM0974,STM0152,STM4569,STM2338,STM2466,STM3802,STM2196,STM3240,STM2971,STM1826,,
17,0.368923753114206,0.286243420724651,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM1511,STM0974,STM0152,STM4569,STM2338,STM2466,STM2196,STM3240,STM3708,STM2971,STM1826,,
17,0.368923753114273,0.286243420737664,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM4567,STM1511,STM0974,STM0152,STM2338,STM2466,STM2196,STM3240,STM3708,STM2971,STM1826,,
18,0.362866960349904,0.423868525054223,STM2927,STM3747,STM1749,STM2463,STM4275,STM4568,STM4570,STM1718,STM3709,STM0974,STM0152,STM0542,STM2502,STM2501,STM2338,STM2466,STM2332,STM2050,
18,0.366519125694903,0.304427762012766,STM2927,STM1463,STM3747,STM1749,STM2463,STM4275,STM1511,STM3709,STM0694,STM3045,STM0974,STM0152,STM2338,STM2466,STM2196,STM3240,STM2971,STM1826,
18,0.368923753114386,0.00274700628890726,STM3747,STM0051,STM1749,STM2463,STM4275,STM0661,STM4570,STM1511,STM3709,STM0974,STM0152,STM4569,STM2338,STM2466,STM2196,STM3240,STM2971,STM1826,
18,0.368923753114386,0.00274700628891481,STM3747,STM1749,STM2463,STM4275,STM4570,STM1511,STM0974,STM0152,STM4569,STM2338,STM2466,STM3885,STM3793,STM2196,STM3240,STM3708,STM2971,STM1826,
19,0.368923753114047,0.286243420718912,STM2927,STM3747,STM1749,STM2463,STM4275,STM4570,STM0974,STM0152,STM2338,STM2466,STM2422,STM2332,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,STM4559_S
