Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
1,0.105900689247066,0.289496266364987,TM0273,,,,,,
2,0.227055589846245,0.0147066824827871,TM0211,TM0546,,,,,
2,0.227055589846245,0.0147066824827871,TM0211,TM0545,,,,,
2,0.105910042559691,0.289521835126701,TM0209,TM0289,,,,,
3,0.210428087475229,1.10118793424075,TM0209,TM0272,TM0211,,,,
7,0.13005467139897,0.0443187303756271,TM0920,TM0209,TM1385,TM0272,TM0296,TM0068,TM1270
7,0.13005467139897,0.0443187303756271,TM0920,TM0209,TM1385,TM0272,TM1270,TM0583,TM1667
7,0.13005467139897,0.0443187303756271,TM0920,TM0209,TM1385,TM0272,TM0068,TM1270,TM1667
7,0.13005467139897,0.0443187303756271,TM0920,TM0209,TM1385,TM1062,TM0272,TM0296,TM1270
