Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0125139904567299,0.00860622162884703,STM4483,STM1749,STM2463,STM4275,STM0371,STM0441,STM3866,STM1884,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.012513978979228,0.00860326043586143,STM4482,STM1749,STM2463,STM0441,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0125138644971622,0.0085958360923297,STM1749,STM2463,STM0441,STM0169,STM0861,STM3866,STM1884,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0125139091420012,0.00859422743795585,STM4482,STM1749,STM2463,STM4275,STM0371,STM0441,STM3866,STM1885,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0125138612873875,0.00858951438342422,STM4482,STM1749,STM2463,STM0441,STM3512,STM3541,STM3866,STM1620,STM2167,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0125138612873875,0.00858951438342422,STM4482,STM1749,STM2463,STM0441,STM1886,STM3512,STM3541,STM3866,STM1620,STM2167,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0124454626396087,0.00854489285685903,STM3646,STM4483,STM1749,STM2463,STM0441,STM3680,STM3866,STM1885,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0124309712893476,0.00853327753389296,STM4483,STM1749,STM2463,STM0441,STM3680,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0124453453672043,0.00852964146411489,STM3646,STM4482,STM1749,STM2463,STM0441,STM3680,STM3866,STM1884,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0125286131443512,0.00862445924553693,STM3646,STM4483,STM1749,STM2463,STM0441,STM3866,STM1884,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
26,0.0124309712893476,0.00853327753389296,STM4483,STM1749,STM2463,STM0441,STM3680,STM1886,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,,
27,0.0143452077179307,0.0155297828537558,STM0620,STM1749,STM2463,STM2654,STM2555,STM0934,STM2285,STM3526,STM0169,STM0861,STM3866,STM1620,STM2167,STM4183,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,,,,,,,,
27,0.0157584937810435,0.010823437801246,STM3646,STM1749,STM2463,STM0737,STM2654,STM0441,STM4283,STM3866,STM1884,STM0517,STM1135,STM2167,STM2081,STM0974,STM1566,STM2472,STM1211,STM2317,STM0935,STM3500,STM2338,STM2466,STM3218,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0154233664638981,0.0105957833532696,STM0620,STM4482,STM2792,STM1749,STM2463,STM0737,STM2654,STM0441,STM1756,STM3512,STM3541,STM1511,STM3866,STM1620,STM2167,STM0785,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0007,STM2473,,,,,,,,
27,0.0134305247717806,0.00922384272563902,STM1749,STM2463,STM0737,STM0441,STM0169,STM0861,STM3866,STM1620,STM2167,STM0974,STM2472,STM0785,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM2051,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0129674002256512,0.0089172402433372,STM3646,STM1749,STM2463,STM0441,STM3680,STM0169,STM0861,STM3866,STM1135,STM1570,STM4036,STM2167,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0129517649524958,0.00889655439420827,STM4482,STM1749,STM2463,STM0441,STM1886,STM3512,STM3541,STM3866,STM1570,STM1620,STM4036,STM2167,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.012951771412368,0.00889052330614501,STM1749,STM2463,STM4275,STM0371,STM0441,STM1886,STM0169,STM0861,STM3866,STM1570,STM1620,STM4036,STM2167,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0129516688887025,0.00888382167554749,STM4483,STM1749,STM2463,STM0441,STM3680,STM1886,STM3866,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0125138673178511,0.0085954626141298,STM4483,STM1749,STM2463,STM4275,STM0371,STM0441,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0125284709989807,0.00858768429605881,STM3646,STM4483,STM1749,STM2463,STM0441,STM1886,STM3866,STM1135,STM2167,STM3542,STM4485,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0124454626396087,0.00854489285685903,STM3646,STM4483,STM1749,STM2463,STM0441,STM3680,STM1886,STM3866,STM1135,STM2167,STM3542,STM4485,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0124309695616938,0.00853885785413389,STM4483,STM1749,STM2463,STM0737,STM0441,STM3680,STM3866,STM1884,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0124309265624674,0.00852739186470729,STM4482,STM1597,STM1749,STM2463,STM0737,STM0441,STM3680,STM3866,STM1885,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,,,
27,0.0123490830355222,0.00847289110665581,STM4483,STM1749,STM0441,STM3680,STM3866,STM1885,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,,
27,0.0124309695616938,0.00853885785413389,STM4483,STM1597,STM1749,STM2463,STM0737,STM0441,STM3680,STM3866,STM1884,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,,,
28,0.0138589549897521,0.00953478075945886,STM1749,STM2463,STM0737,STM0441,STM1886,STM0169,STM0861,STM3866,STM1570,STM1620,STM4036,STM2167,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM2051,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.013858879742613,0.00948340966502322,STM4482,STM2792,STM1749,STM2463,STM0737,STM0441,STM3866,STM1885,STM1570,STM1620,STM4036,STM2167,STM2081,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0134446632592386,0.0092732413676326,STM3646,STM4483,STM1597,STM1749,STM2463,STM0737,STM0441,STM3866,STM1884,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0134446334509153,0.00923514560605369,STM3646,STM4482,STM1749,STM2463,STM0737,STM0441,STM3866,STM1884,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM2051,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0134306438117693,0.00920968793166474,STM4482,STM2792,STM1749,STM2463,STM0737,STM0441,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0785,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129518141310414,0.00891420264151968,STM4483,STM1749,STM0441,STM3680,STM3866,STM1884,STM1570,STM1620,STM4036,STM2167,STM2081,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
28,0.0129674528652116,0.00891160966482024,STM3646,STM4483,STM1749,STM2463,STM0441,STM3680,STM3866,STM1135,STM1570,STM4036,STM2167,STM3542,STM4485,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129518267383132,0.00891068842168898,STM4482,STM1749,STM0441,STM3680,STM3866,STM1885,STM1570,STM1620,STM4036,STM2167,STM2081,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
28,0.0129673719216199,0.00890838999947513,STM3646,STM1749,STM2463,STM4275,STM0371,STM0441,STM1886,STM0169,STM0861,STM3866,STM1135,STM1570,STM4036,STM2167,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129673180294151,0.00890166184083399,STM3646,STM1749,STM2463,STM0441,STM0169,STM0861,STM3866,STM1884,STM1135,STM1570,STM4036,STM2167,STM2081,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129673183427402,0.00889477640923886,STM3646,STM4482,STM1749,STM2463,STM4275,STM0371,STM0441,STM3866,STM1885,STM1135,STM1570,STM4036,STM2167,STM2081,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129516675342335,0.0088861390958328,STM4483,STM2792,STM1749,STM2463,STM0737,STM0441,STM3680,STM3866,STM1885,STM1570,STM1620,STM4036,STM2167,STM2081,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0123634606000448,0.00850707469701917,STM3646,STM4483,STM1749,STM0441,STM3680,STM3866,STM1884,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
28,0.0123492078782776,0.00849143882862397,STM4482,STM1749,STM0441,STM3680,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
28,0.0123633821792007,0.00848878474725612,STM3646,STM1749,STM0441,STM3680,STM1886,STM0169,STM0861,STM3866,STM1135,STM2167,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
28,0.0123490830355222,0.00847289110665581,STM4483,STM1749,STM0441,STM3680,STM3866,STM1620,STM2167,STM3542,STM4485,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
28,0.0123490833196833,0.00847147115742539,STM4482,STM1749,STM0441,STM3680,STM3512,STM3541,STM3866,STM1620,STM2167,STM0974,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,,
