Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.206705769513133,0.0725588147647285,STM1749,STM2463,STM2285,STM3526,STM4326,STM1299,STM2947,STM3709,STM3068,STM2141,STM1620,STM3542,STM4485,STM0370,STM0772,STM4585,STM3704,STM0518,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM2338,STM2466,STM0977,STM1124,,,,,,,,,,,,,,
29,0.288673409191863,0.0134769090414379,STM2285,STM3526,STM4326,STM2952,STM1299,STM2947,STM3709,STM1620,STM0368,STM1448,STM1326,STM4062,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM1124,STM3802,STM2196,STM3240,STM0007,STM2473,STM3708,STM2971,STM1826,,,,,,,,,,,,,,
29,0.288673409191871,0.0134769090425266,STM3646,STM2285,STM3526,STM1290,STM4326,STM1299,STM0517,STM2947,STM3709,STM1135,STM4183,STM0368,STM1448,STM1326,STM4062,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM3802,STM2196,STM3240,STM0007,STM2473,STM3708,STM2971,STM1826,,,,,,,,,,,,,,
29,0.288673409191868,0.0134769090424439,STM3646,STM2285,STM3526,STM4326,STM1299,STM0517,STM2947,STM3709,STM3068,STM2141,STM1135,STM4183,STM0370,STM1448,STM3069,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM3802,STM2196,STM3240,STM0007,STM2473,STM3708,STM2971,STM1826,,,,,,,,,,,,,,
29,0.295070567092714,0.00498776524825399,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1299,STM2947,STM3068,STM2141,STM1620,STM0370,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,,
29,0.295070567092709,0.00498776524811428,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1299,STM2947,STM1620,STM0369,STM3597,STM1326,STM4062,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,,
29,0.295662528937047,0.00496686568627253,STM3646,STM2285,STM3526,STM4567,STM4326,STM1511,STM1299,STM2947,STM1135,STM0369,STM3597,STM1326,STM4062,STM4408,STM1291,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,,
29,0.294868228259666,0.00601886277023722,STM3646,STM2285,STM3526,STM0322,STM1290,STM4567,STM4326,STM1511,STM1299,STM2947,STM1135,STM0370,STM3597,STM1326,STM4062,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,,
29,0.259101904587249,0.0132552407245651,STM1749,STM2463,STM2285,STM3526,STM4326,STM0321,STM1299,STM2947,STM3709,STM3068,STM2141,STM1570,STM1620,STM4036,STM0369,STM1448,STM3069,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM0007,STM2473,STM3708,,,,,,,,,,,,,,
29,0.292638509454257,0.00897197327920615,STM3646,STM0158,STM2285,STM3526,STM1290,STM4326,STM1511,STM2952,STM1299,STM2947,STM3709,STM3068,STM2141,STM1135,STM4183,STM1448,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0007,STM2473,STM3708,STM2971,STM1826,,,,,,,,,,,,,,
29,0.295070567092709,0.00498776524807111,STM0158,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1299,STM2947,STM1620,STM1326,STM4062,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,,
30,0.288479745825286,0.0144799721273476,STM3646,STM2285,STM3526,STM0322,STM1290,STM4326,STM1511,STM1299,STM2947,STM3068,STM2141,STM1135,STM0368,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2196,STM3240,STM0007,STM2473,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.288673409191869,0.0134769090417326,STM0158,STM2285,STM3526,STM4326,STM1511,STM1299,STM2947,STM1620,STM1326,STM4062,STM4408,STM1291,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0007,STM2473,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.288673409191871,0.0134769090419645,STM0158,STM2285,STM3526,STM1290,STM4326,STM1511,STM1299,STM2947,STM3068,STM2141,STM1620,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0007,STM2473,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.295088165409252,0.00509160513971409,STM3646,STM2285,STM3526,STM4326,STM1511,STM2952,STM1299,STM2947,STM1135,STM4183,STM0369,STM3597,STM1326,STM4062,STM4408,STM1291,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM4578,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,
30,0.295111155304983,0.00506110704427292,STM3646,STM2285,STM3526,STM4567,STM4326,STM1511,STM2952,STM1299,STM2947,STM1135,STM4183,STM0369,STM1326,STM4062,STM4408,STM1291,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.29504758352016,0.0050182648626761,STM0158,STM2285,STM3526,STM4326,STM1511,STM2952,STM1299,STM2947,STM3068,STM2141,STM1620,STM3597,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM0977,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,
30,0.29563945305767,0.00499742811533974,STM3646,STM2285,STM3526,STM4326,STM1511,STM2952,STM1299,STM2947,STM3068,STM2141,STM1135,STM0370,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM4578,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.295070567092719,0.0049877652484275,STM0158,STM2285,STM3526,STM4567,STM4326,STM1511,STM2952,STM1299,STM2947,STM3068,STM2141,STM1620,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.295070567092709,0.00498776524811428,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1299,STM2947,STM1620,STM0368,STM3597,STM1326,STM4062,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,
30,0.295662528937043,0.00496686568601327,STM3646,STM0158,STM2927,STM2285,STM3526,STM4326,STM1511,STM1299,STM2947,STM3709,STM1135,STM0491,STM1448,STM1326,STM4062,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2332,STM1124,STM2196,STM3240,STM3708,STM2971,STM1826,STM4559_S,,,,,,,,,,,,,
30,0.295070567092714,0.00498776524825399,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1299,STM2947,STM3068,STM2141,STM1620,STM0370,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.295070567092709,0.00498776524807111,STM3646,STM0158,STM2285,STM3526,STM4567,STM4326,STM1511,STM1299,STM0517,STM2947,STM1135,STM4183,STM1326,STM4062,STM4408,STM1291,STM3069,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.295070567092714,0.00498776524825399,STM2285,STM3526,STM4567,STM4326,STM1511,STM1299,STM2947,STM3068,STM2141,STM1620,STM0368,STM4408,STM1291,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,,
30,0.295047583520162,0.00501826486288492,STM3646,STM0158,STM2285,STM3526,STM4326,STM1511,STM1299,STM0517,STM2947,STM3068,STM2141,STM1135,STM4183,STM3597,STM4408,STM1291,STM3069,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,,
31,0.288673409191844,0.0134769090402871,STM3646,STM2285,STM3526,STM1290,STM4326,STM1511,STM1299,STM0517,STM2947,STM1135,STM4183,STM0368,STM3597,STM1326,STM4062,STM4408,STM1291,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0007,STM2473,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,
31,0.249021976047995,0.0102657263284836,STM1749,STM2463,STM2285,STM3526,STM4567,STM4326,STM1511,STM1299,STM2947,STM3709,STM3068,STM2141,STM1620,STM3542,STM4485,STM0974,STM1448,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,,,
31,0.295088165409255,0.00509160514013227,STM3646,STM2285,STM3526,STM1290,STM4326,STM1299,STM2947,STM3709,STM0525,STM3247,STM2959,STM2492,STM1135,STM4183,STM0370,STM1448,STM1326,STM4062,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM1124,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,,,
31,0.295111155304957,0.00506110704283295,STM3646,STM2285,STM3526,STM4567,STM4326,STM1299,STM2947,STM3709,STM0525,STM3247,STM2959,STM2492,STM1135,STM4183,STM0370,STM1448,STM1326,STM4062,STM3069,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,,,
31,0.288673409191869,0.0134769090417326,STM3646,STM0158,STM2285,STM3526,STM1290,STM4326,STM1511,STM1299,STM0517,STM2947,STM1135,STM4183,STM1326,STM4062,STM4408,STM1291,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0007,STM2473,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,,
31,0.295639453057673,0.00499742811531305,STM3646,STM2285,STM3526,STM4568,STM4570,STM4326,STM1511,STM1299,STM2947,STM1135,STM0370,STM3597,STM1326,STM4062,STM4408,STM1291,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2422,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,,,
31,0.263070378103954,0.00156603165567581,STM1749,STM2463,STM2285,STM3526,STM4326,STM1511,STM1299,STM2947,STM3709,STM1620,STM0369,STM3597,STM1326,STM4062,STM4408,STM1291,STM3069,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM0007,STM2473,STM0402,STM0608,,,,,,,,,,,,
32,0.185974950628564,0.108937623249532,STM3646,STM4482,STM1749,STM2463,STM2285,STM3526,STM3512,STM3541,STM4326,STM2952,STM2947,STM3709,STM1135,STM4183,STM0368,STM1448,STM1326,STM4062,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM0977,STM1124,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,,
32,0.288673409191869,0.0134769090421311,STM2285,STM3526,STM4326,STM1299,STM2947,STM3709,STM1620,STM0370,STM3597,STM1326,STM4062,STM4408,STM1291,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM3802,STM2196,STM3240,STM0007,STM2473,STM0402,STM0608,STM3708,STM2971,STM1826,,,,,,,,,,,
32,0.294845276196149,0.00604926121373077,STM3646,STM2285,STM3526,STM0322,STM4326,STM1511,STM2952,STM1299,STM2947,STM1135,STM1326,STM4062,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM3241,STM0973,STM0977,STM2196,STM3240,STM2051,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,
