YLR201C,YOL096C,YGL119W,YDR204W,YML110C,YGR255C,YOR125C,,,,,,,,
YGL154C,YBR115C,,,,,,,,,,,,,
YMR009W,YEL038W,,,,,,,,,,,,,
YAL023C,YDL095W,,,,,,,,,,,,,
YMR108W,YCL009C,,,,,,,,,,,,,
YDL185W,YBR127C,YPL234C,YLR447C,YOR332W,YKL080W,YHR026W,YGR020C,YEL051W,YPR036W,YEL027W,YHR039C_A,,,
YKL182W,YPL231W,,,,,,,,,,,,,
YBR026C,YER061C,YKL055C,YOR221C,YHR067W,,,,,,,,,,
YBL099W,YBR039W,YKL016C,YJR121W,YDL004W,YPL078C,YLR295C,YDR298C,YDR377W,YDL181W,Q0085,Q0080,Q0130,YPL271W,YML081C_A
YPR020W,YDR322C_A,YOL077W_A,,,,,,,,,,,,
YKL188C,YPL147W,,,,,,,,,,,,,
YOR303W,YJR109C,,,,,,,,,,,,,
YLR372W,YDL015C,,,,,,,,,,,,,
YDR148C,YIL125W,,,,,,,,,,,,,
YHR051W,YMR256C,YDL067C,YGL187C,YLR038C,YGL191W,Q0275,Q0045,YLR395C,Q0250,,,,,
YBL045C,YDR529C,YEL024W,YPR191W,YGR183C,YJL166W,Q0105,YFR033C,YOR065W,YHR001W_A,,,,,
YNL071W,YGR193C,,,,,,,,,,,,,
YBR221C,YER178W,,,,,,,,,,,,,
YMR205C,YGR240C,,,,,,,,,,,,,
YER141W,YDR376W,YPL252C,,,,,,,,,,,,
YMR189W,YAL044C,YDR019C,,,,,,,,,,,,
YLR060W,YFL022C,,,,,,,,,,,,,
YNL037C,YOR136W,,,,,,,,,,,,,
YDR074W,YBR126C,,,,,,,,,,,,,
YGR244C,YOR142W,,,,,,,,,,,,,
YEL017C_A,YCR024C_A,,,,,,,,,,,,,
YDR062W,YMR296C,,,,,,,,,,,,,
