Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.455694807552321,1.52598389014412,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1982,b4381,b0114,b0529,b2492,b0904,b0515,b1511,b2285,,,,,,,,,,,,,,,,,,,,,,
18,0.346198454278443,1.05370796394428,b1241,b0351,b4069,b0871,b3115,b1849,b2296,b2925,b2097,b2926,b3617,b3946,b0825,b4381,b0114,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,
18,0.366878303719729,0.29582058010829,b1241,b0351,b0871,b2925,b2097,b2926,b2407,b2690,b3616,b3589,b3945,b4381,b2868,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,
18,0.455719204517233,1.52614269519435,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b0261,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,
19,0.546761665956559,2.09644114788519,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1612,b1611,b4122,b1982,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,
19,0.546790871000551,2.096308166063,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1612,b1611,b4122,b1982,b0261,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,
19,0.455719204517261,1.52614269528737,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b0261,b4381,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,
19,0.455694807552319,1.52598389011126,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b0114,b0529,b2492,b0904,b0516,b1518,b2285,,,,,,,,,,,,,,,,,,,,,
19,0.726228080439158,0.38355372955013,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,,,
19,0.721986669668155,0.381255457531068,b2836,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,
20,0.564467514973807,2.16357406810717,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,
20,0.455715295461988,1.72288408174394,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1982,b0675,b2361,b0261,b4381,b2406,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,
20,0.455690456607837,1.52606479940958,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b3665,b4381,b0114,b0529,b2492,b0904,b1518,b2285,,,,,,,,,,,,,,,,,,,,
20,0.726228080439154,0.383553729550002,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,,
20,0.721986774368011,0.381255512808739,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b0452,b3825,b3918,b1206,,,,,,,,,,,,,,,,,,,,
20,0.721984921211491,0.381254534224186,b2836,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,
20,0.473786776474769,1.53774083942619,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b3617,b0030,b2407,b1982,b4381,b0114,b0529,b2492,b0904,b1518,b2285,,,,,,,,,,,,,,,,,,,,
20,0.564467514973814,2.16357406811628,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,
20,0.547430238463939,1.11929879047441,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b2925,b2097,b2926,b3617,b0907,b2690,b3945,b0114,b2492,b0904,b1380,b0515,,,,,,,,,,,,,,,,,,,,
21,0.564467514973758,2.16357406811522,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,
21,0.442828674481704,1.69852827715271,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b1612,b1611,b4122,b4381,b2868,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,,,
21,0.442856466778009,1.69497865519511,b4382,b1241,b0351,b4069,b4384,b0512,b2297,b2458,b0030,b2407,b1612,b1611,b4122,b3616,b3589,b0261,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,
21,0.473808471824674,1.54023810166551,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b4381,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,
21,0.375437473417505,1.43953502362632,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2407,b1612,b1611,b4122,b1779,b3616,b3589,b4381,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,,,
21,0.571962181689585,0.778482262993883,b2066,b1241,b0351,b4069,b4384,b3752,b0871,b2297,b2458,b2925,b2097,b2926,b3617,b2407,b1982,b3946,b0825,b0114,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,
21,0.726226311379167,0.383552795218148,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b3825,b3918,b0494,b1206,,,,,,,,,,,,,,,,,,,
21,0.724946720230213,0.382876985555943,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,
21,0.699481384189131,0.369371217483072,b2836,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4388,b4138,b4123,b0621,b4381,b0529,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,
21,0.699479344942894,0.369370140500637,b2836,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b0907,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b0529,b3918,b1206,,,,,,,,,,,,,,,,,,,
21,0.366878303719729,0.29582058014012,b1241,b0351,b2744,b1278,b0871,b2925,b2097,b1779,b2690,b3616,b3589,b0675,b0822,b4381,b2868,b1727,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,
21,0.627029429358738,0.0600310700466244,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b2779,b2925,b2097,b3617,b2690,b3945,b4381,b0511,b0114,b0529,b2492,b0904,b0516,,,,,,,,,,,,,,,,,,,
21,0.720720324165076,0.38058674554854,b2836,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b3918,b1206,,,,,,,,,,,,,,,,,,,
21,0.721984921211491,0.381254534220648,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b0452,b2835,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,
21,0.57972501564278,0.709983821524194,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b2925,b2097,b2926,b0907,b2690,b3616,b3589,b3945,b4381,b0114,b2492,b0904,b0515,,,,,,,,,,,,,,,,,,,
22,0.546761665956609,2.09644114788043,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1238,b1612,b1611,b4122,b1982,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,
22,0.510663077059947,1.9580287977266,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1612,b1611,b4122,b2868,b0114,b0755,b3612,b0529,b2492,b0904,b1813,b1517,,,,,,,,,,,,,,,,,,
