Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.287865703735241,1.50644154171459,YCR010C,YKL174C,
2,0.287865703709219,1.50644153461326,YCR032W,YKL174C,
3,0.287865703710955,1.50644152553286,YCR032W,YOR273C,YLL028W
3,0.2878657036832,1.50644150795415,YCR010C,YOR273C,YLL028W
