Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,
6,0.0495110314376042,0.00892678683974468,Rv2443,Rv1188,Rv1098c,Rv0694,Rv3150,Rv0859,,,,,,,,,,,,
7,0.0511942800827845,0.00923027451053001,Rv2443,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv3150,Rv0859,,,,,,,,,,,
7,0.0477108186267901,0.00860224838789136,Rv2443,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv0859,,,,,,,,,,,
7,0.0495110314566866,0.00892654710237781,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv3150,Rv0859,,,,,,,,,,,
7,0.0495110315260759,0.0089267100208037,Rv2443,Rv1902c,Rv1188,Rv1098c,Rv1872c,Rv3150,Rv0859,,,,,,,,,,,
8,0.0511942800827836,0.00923031298739391,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv0859,,,,,,,,,,
8,0.0477108185435234,0.00860219716971783,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,Rv2920c,Rv0859,,,,,,,,,,
8,0.0511942800689063,0.00923027397411162,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv3150,Rv0859,,,,,,,,,,
8,0.0495110314566866,0.00892649424663807,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1188,Rv1098c,Rv0859,,,,,,,,,,
8,0.0477108185990343,0.00860219899590328,Rv2443,Rv2332,Rv1240,Rv1188,Rv1872c,Rv2920c,Rv3150,Rv0859,,,,,,,,,,
8,0.049511031442809,0.00892687880417096,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1872c,Rv3150,Rv0859,,,,,,,,,,
8,0.0495110314428089,0.00892652714639536,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,Rv0694,Rv0859,,,,,,,,,,
9,0.0511942800827841,0.00923031913086021,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv0859,,,,,,,,,
9,0.0477108186267897,0.00860223251705368,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv2920c,Rv0859,,,,,,,,,
9,0.0495110314705646,0.00892678031341244,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv0859,,,,,,,,,
9,0.0495110314428085,0.00892652703667962,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1188,Rv0859,,,,,,,,,
15,0.0483029854352488,0.00300120385573092,Rv1122,Rv1844c,Rv1448c,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1826,Rv1200,Rv2332,Rv1240,Rv1832,Rv1188,Rv0118c,Rv0859,,,
18,0.0250806979878008,0.00452218866252122,Rv2495c,Rv2215,Rv2443,Rv3356c,Rv0753c,Rv1902c,Rv2332,Rv1188,Rv1098c,Rv0211,Rv0694,Rv3150,Rv3293,Rv0147,Rv0084,Rv2899c,Rv0859,Rv3535c
