Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.353897749137529,0.0279409893807951,PHATRDRAFT_draft521,PHATRDRAFT_31544,,
2,0.353897749137529,0.0279409893810225,PHATRDRAFT_draft521,PHATRDRAFT_51970,,
2,0.353897749137528,0.0279409893807951,PHATRDRAFT_draft521,PHATRDRAFT_20310,,
2,0.353897749137417,0.0279409893807951,PHATRDRAFT_draft521,PHATRDRAFT_23913,,
2,0.353897749137518,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_42245,,
2,0.353897749137639,0.0279409893814773,PHATRDRAFT_draft521,PHATRDRAFT_35580,,
2,0.353897749137526,0.0279409893789762,PHATRDRAFT_draft521,PHATRDRAFT_19979,,
2,0.353897749137526,0.0279409893789762,PHATRDRAFT_draft521,PHATRDRAFT_17720,,
2,0.353897749137526,0.0279409893789762,PHATRDRAFT_draft521,PHATRDRAFT_31436,,
2,0.353897749137526,0.0279409893789762,PHATRDRAFT_draft521,PHATRDRAFT_23723,,
2,0.353897749137526,0.0279409893789762,PHATRDRAFT_draft521,PHATRDRAFT_41969,,
2,0.353897749137526,0.0279409893787488,PHATRDRAFT_draft521,PHATRDRAFT_54478,,
2,0.35389774913753,0.0279409893781803,PHATRDRAFT_draft521,PHATRDRAFT_48078,,
2,0.353897749137526,0.0279409893789762,PHATRDRAFT_draft521,PHATRDRAFT_55069,,
3,0.353897749137528,0.0279409893810225,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_28181,
3,0.353897749137477,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_28181,
3,0.35389774913775,0.0279409893809088,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_28181,
3,0.353897749137526,0.0279409893809088,PHATRDRAFT_54015,PHATRDRAFT_51970,PHATRDRAFT_28181,
3,0.35389774913753,0.0279409893799993,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970,
3,0.353897749137499,0.0279409893809088,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181,
3,0.353897749137527,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_31436,
3,0.353897749137528,0.0279409893803404,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_28181,
3,0.353897749137527,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_21970,
3,0.353897749137499,0.0279409893809088,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_28181,
3,0.353897749137526,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_25932,PHATRDRAFT_11014,
3,0.353897749137499,0.0279409893809088,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_28181,
3,0.353897749137526,0.027940989381591,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068,
3,0.353897749137527,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_21970,
3,0.353897749137542,0.0279409893803404,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_42245,
3,0.35389774913753,0.0279409893805678,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_21970,
3,0.353897749137527,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_21970,
3,0.353897749137499,0.0279409893809088,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_28181,
3,0.353897749137527,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_21970,
4,0.353897749137527,0.0279409893807951,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54015,PHATRDRAFT_21970
4,0.353897749137562,0.0279409893807951,PHATRDRAFT_54015,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_21970
