Deletion size,Max growth rate,Min production rate,Deleted genes,
1,0.194595622153361,0.623703293454086,TM0066,
1,0.225123986103043,0.0396736000707766,TM1744,
1,0.225123986103017,0.0396736000708639,TM1662,
1,0.225123986102962,0.0396736000708583,TM0913,
1,0.22512402497265,0.0396736069209329,TM0167,
1,0.225124024972678,0.0396736069209383,TM1559,
1,0.194595622153362,0.6237032934542,TM0428,
2,0.225123986103044,0.0396736000708759,TM0936,TM1384
2,0.225123986102988,0.0396736000708595,TM1384,TM0206
2,0.225123986102962,0.0396736000708583,TM1737,TM1596
