Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.287865703724833,1.50644153822213,YCR032W,YKL174C,
2,0.28786570376127,1.50644152739551,YCR010C,YKL174C,
3,0.287865703704018,1.50644152052701,YCR032W,YOR273C,YLL028W
3,0.287865703638097,1.506441499223,YCR010C,YOR273C,YLL028W
