Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
10,0.0271711134060793,0.504515976562713,Rv2495c,Rv2215,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,,
10,0.0349970662699669,0.21103634175146,Rv2495c,Rv2215,Rv2476c,Rv0162c,Rv1240,Rv0211,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,,
10,0.0271711134060793,0.504516064544157,Rv2495c,Rv2215,Rv2443,Rv3356c,Rv0753c,Rv1902c,Rv0162c,Rv0694,Rv0084,Rv2899c,,,,,,,
10,0.0303011312025876,0.518422348541208,Rv2495c,Rv2215,Rv0753c,Rv1902c,Rv0162c,Rv1240,Rv2920c,Rv0694,Rv0084,Rv2899c,,,,,,,
10,0.0341817491509392,0.203258715722588,Rv2495c,Rv2215,Rv0753c,Rv0162c,Rv1240,Rv0211,Rv2920c,Rv0694,Rv0084,Rv2899c,,,,,,,
10,0.0270509029626741,0.647643233664344,Rv2495c,Rv2215,Rv3356c,Rv1902c,Rv0162c,Rv1240,Rv0211,Rv3601c,Rv0084,Rv2899c,,,,,,,
10,0.0332348573206549,0.200410273226835,Rv2495c,Rv2215,Rv2476c,Rv0753c,Rv1902c,Rv0162c,Rv1240,Rv0211,Rv0084,Rv2899c,,,,,,,
10,0.0341817491648168,0.203258680024384,Rv2495c,Rv2215,Rv0162c,Rv1240,Rv0211,Rv2920c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,,
10,0.0303011312025876,0.518422376131639,Rv2495c,Rv2215,Rv1902c,Rv0162c,Rv1240,Rv2920c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,,
10,0.0324321710001545,0.19285503249891,Rv2495c,Rv2215,Rv1902c,Rv0162c,Rv1240,Rv0211,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,,,,,
10,0.0350761174187707,0.152784538286056,Rv2495c,Rv2215,Rv2476c,Rv0753c,Rv0162c,Rv1240,Rv0211,Rv0694,Rv0084,Rv2899c,,,,,,,
10,0.0324321710001544,0.192855793607226,Rv2495c,Rv2215,Rv0753c,Rv1902c,Rv0162c,Rv1240,Rv0211,Rv2920c,Rv0084,Rv2899c,,,,,,,
10,0.0332348573622882,0.200409903346251,Rv2495c,Rv2215,Rv2476c,Rv1902c,Rv0162c,Rv1240,Rv0211,Rv3601c,Rv0084,Rv2899c,,,,,,,
11,0.0271711134060793,0.504515976562713,Rv0843,Rv0462,Rv2496c,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,
11,0.0271711134060793,0.504515976562713,Rv0843,Rv0462,Rv2495c,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,
11,0.0324321710001545,0.19285503249891,Rv0843,Rv0462,Rv2496c,Rv1902c,Rv0162c,Rv1240,Rv0211,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,,,,
11,0.0303011311470765,0.518422445298298,Rv2495c,Rv2215,Rv2443,Rv1902c,Rv0162c,Rv1098c,Rv2920c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,,
