Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.351702588621745,0.194302784451933,STM2451,STM4340,STM3359,STM1566,STM2472,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,,,,
10,0.351816124497891,0.194365508860508,STM2451,STM4340,STM1469,STM0761,STM1468,STM4300,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,,,
16,0.286498130136014,0.0858629166054907,STM2421,STM2451,STM2285,STM4568,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,
17,0.290819285714006,0.0871579582899299,STM2421,STM2451,STM2285,STM4568,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
17,0.286498130136001,0.0858629166054957,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
17,0.289583437939322,0.0771347959188897,STM3646,STM2421,STM2451,STM2285,STM4568,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
18,0.286498130136014,0.0858629166057365,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
18,0.286498130136003,0.0858629166055003,STM2927,STM2451,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,,,
18,0.28595826239921,0.0857011193245272,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1620,STM0974,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,,
18,0.293998881165846,0.07831091398211,STM3646,STM2421,STM2451,STM2285,STM4568,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
18,0.289763465187633,0.0771827488168799,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
