Deletion size,Max growth rate,Min production rate,Deleted genes,,
3,0.0277100231593033,0.260830624014773,TM1415,TM1611,TM0202
3,0.0277100231593312,0.260830624015247,TM1611,TM0202,TM1419
3,0.0277100231593312,0.260830624015247,TM1611,TM0202,TM_1418
