Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.110686220112061,0.192515784238672,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_12902,Phatr3_EG02215,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_31906,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_47090,PHATRDRAFT_1341,PHATRDRAFT_48078,PHATRDRAFT_22117,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_28181,PHATRDRAFT_draft18,PHATRDRAFT_15815,PHATRDRAFT_54528,,,,,,,,,,,,,,,
22,0.136893717447868,0.186008266775843,PHATRDRAFT_27726,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_12902,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_54731,PHATRDRAFT_23913,PHATRDRAFT_13005,PHATRDRAFT_50084,PHATRDRAFT_21970,PHATRDRAFT_22117,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_draft18,PHATRDRAFT_15815,PHATRDRAFT_54528,,,,,,,,,,,,,,,
24,0.107923412431284,0.193201810028813,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_12902,PHATRDRAFT_26290,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_31906,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_54731,PHATRDRAFT_20310,PHATRDRAFT_13005,PHATRDRAFT_50084,PHATRDRAFT_35566,PHATRDRAFT_21970,PHATRDRAFT_47667,PHATRDRAFT_33266,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_47239,PHATRDRAFT_49842,PHATRDRAFT_45428,PHATRDRAFT_40433,,,,,,,,,,,,,
24,0.132737681475764,0.187040241563182,PHATRDRAFT_27726,PHATRDRAFT_800,PHATRDRAFT_54219,PHATRDRAFT_49601,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_8982,PHATRDRAFT_13175,PHATRDRAFT_41969,PHATRDRAFT_31367,PHATRDRAFT_44546,PHATRDRAFT_11273,PHATRDRAFT_35566,PHATRDRAFT_15777,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_28181,PHATRDRAFT_draft18,PHATRDRAFT_15815,,,,,,,,,,,,,
24,0.136893717447861,0.186008266765668,PHATRDRAFT_27726,PHATRDRAFT_800,PHATRDRAFT_49601,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_44546,PHATRDRAFT_11273,PHATRDRAFT_22117,PHATRDRAFT_42245,PHATRDRAFT_15777,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_28181,PHATRDRAFT_draft18,PHATRDRAFT_15815,PHATRDRAFT_44384,,,,,,,,,,,,,
24,0.1962538263567,0.171268708035097,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_12902,PHATRDRAFT_45947,PHATRDRAFT_49112,PHATRDRAFT_49601,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_31906,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_28068,PHATRDRAFT_44546,PHATRDRAFT_11273,PHATRDRAFT_21970,PHATRDRAFT_22117,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_45428,PHATRDRAFT_draft18,PHATRDRAFT_15815,PHATRDRAFT_22019,PHATRDRAFT_54528,,,,,,,,,,,,,
24,0.244599767845827,0.159264049377029,PHATRDRAFT_27726,PHATRDRAFT_800,PHATRDRAFT_12902,PHATRDRAFT_54219,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_46664,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_47090,PHATRDRAFT_41969,PHATRDRAFT_44546,PHATRDRAFT_11273,Phatr3_EG02569,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_45428,PHATRDRAFT_28181,PHATRDRAFT_draft18,PHATRDRAFT_15815,,,,,,,,,,,,,
24,0.286353146430313,0.148896373380045,PHATRDRAFT_800,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_29016,PHATRDRAFT_31906,PHATRDRAFT_28191,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_8982,PHATRDRAFT_47090,PHATRDRAFT_1341,PHATRDRAFT_20310,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_15777,PHATRDRAFT_47667,PHATRDRAFT_33266,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_47239,PHATRDRAFT_49842,PHATRDRAFT_45428,PHATRDRAFT_40433,,,,,,,,,,,,,
24,0.332172436193939,0.13426979235966,PHATRDRAFT_27726,PHATRDRAFT_800,PHATRDRAFT_14792,PHATRDRAFT_12902,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_29016,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_47090,PHATRDRAFT_1341,PHATRDRAFT_44782,PHATRDRAFT_11319,PHATRDRAFT_41886,PHATRDRAFT_35566,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_45428,PHATRDRAFT_28181,PHATRDRAFT_draft18,PHATRDRAFT_15815,PHATRDRAFT_41686,PHATRDRAFT_45141,,,,,,,,,,,,,
25,0.349450251299219,0.0497080922352211,PHATRDRAFT_800,PHATRDRAFT_12902,PHATRDRAFT_49601,PHATRDRAFT_26290,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_31906,PHATRDRAFT_46664,Phatr3_EG02361,PHATRDRAFT_8982,PHATRDRAFT_7164,PHATRDRAFT_28797,PHATRDRAFT_20310,PHATRDRAFT_23913,PHATRDRAFT_44546,PHATRDRAFT_11273,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_39772,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_draft18,,,,,,,,,,,,
