Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,
9,0.338677344025954,0.0935534072025329,STM4340,STM3359,STM1566,STM2472,STM2252,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,
10,0.33878262480367,0.0935824890872235,STM4340,STM1469,STM0761,STM1468,STM4300,STM2252,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,
16,0.281825627810291,0.0422312885017454,STM2421,STM2285,STM4568,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,
17,0.286005956871757,0.0428577066312734,STM2421,STM2285,STM4568,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,
17,0.281825627810284,0.0422312885017352,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,
17,0.28181294003896,0.0422293872519019,STM2421,STM2285,STM1750,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,
17,0.285333655075614,0.0380014019615024,STM3646,STM2421,STM2285,STM4568,STM1135,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,
18,0.28182562781029,0.0422312885017435,STM2927,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,
18,0.281812940038955,0.0422293872518906,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,
18,0.286005956871752,0.0428577066312778,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1570,STM1620,STM4036,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,
19,0.286005956871752,0.0428577066312775,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1570,STM1620,STM4036,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
19,0.286005956871752,0.0428577066312732,STM2927,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,,
19,0.281825627810288,0.0422312885017417,STM2927,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,
19,0.289799564619683,0.0385961822150305,STM3646,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM1570,STM4036,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
19,0.285333655075614,0.0380014019614986,STM3646,STM2927,STM0413,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,
19,0.285333655075614,0.0380014019615022,STM3646,STM2927,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,
19,0.286005956871752,0.0428577066312775,STM2927,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,
20,0.286005956871758,0.042857706631274,STM2927,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM2252,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,
20,0.285508435520721,0.0380246796289911,STM3646,STM2927,STM0413,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,
20,0.287738505641317,0.0254418962165059,STM0051,STM2421,STM0661,STM2285,STM2009,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,STM3334,
20,0.281812940038964,0.0422293872518941,STM2421,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4569,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM3334,
21,0.281825627810289,0.0422312885017417,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM3334
21,0.289799564619683,0.0385961822150313,STM3646,STM2927,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM1570,STM4036,STM2252,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S
21,0.289619492526053,0.0385721997934416,STM3646,STM2927,STM2421,STM2285,STM4567,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S
