Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.20331848267636,0.103570435131413,YNR001C,YPR001W,,
2,0.247493835928795,0.0503897449467354,UNKNOWN,YBR291C,,
2,0.273540197569359,0.018956335711391,YLR043C,YDR353W,,
2,0.266120402213461,0.0269846087844449,YFR055W,YNL277W,,
2,0.266120402100703,0.0269846087321639,YFR055W,YLR303W,,
3,0.203194672975825,0.103507366414232,YKL106W,YKL085W,YKL120W,
4,0.236773209637537,0.060306136523121,YKL106W,YPL262W,YOL126C,YKL120W
4,0.264496233678519,0.0269257165713783,YDR035W,YPL262W,YLR348C,YOL126C
4,0.247187553301366,0.0503273857175373,YDR035W,YLR348C,YKL085W,YKL029C
4,0.247187553315245,0.0503273857947917,YBR291C,YLR348C,YKL085W,YKL029C
4,0.264496233685024,0.0269257166082641,YBR291C,YPL262W,YLR348C,YOL126C
