Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.529494533911868,0.521127637785144,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2407,b1982,b3616,b3589,b0675,b2361,b0261,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.54479592152398,0.885500667324851,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.546722820260363,0.874327061643948,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b0160,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.563320720684578,0.445100168732065,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.563320720684648,0.445100168737686,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0030,b2407,b1982,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.544795921523978,0.885500667324099,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.517699842235886,0.992158028598498,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2883,b1982,b0261,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.544795921523984,0.885500667327555,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.529494533911931,0.521127637749956,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2883,b1982,b1623,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.563320720684629,0.445100168725779,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.563320720684593,0.445100168734584,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b0871,b3617,b1982,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.563320720684629,0.445100168736256,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2407,b1982,b3616,b3589,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.529494533911671,0.521127637775849,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2883,b1982,b1623,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b2954,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.517712547924838,0.992182378719384,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3752,b3115,b1849,b2296,b2883,b1982,b3616,b3589,b1623,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.545966617547547,0.81682578860471,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b0452,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.545966617547509,0.816825788598972,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b0452,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.653413688686467,0.259687073525181,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b2926,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.647814584982626,0.25746181425943,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b2926,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.548387979298185,0.820492610747835,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.545965165668972,0.816845618832158,b2836,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.641494330740954,0.271683583411177,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2406,b0452,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.76841802882349,0.176379088384696,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0121,b1982,b2797,b3117,b1814,b4471,b0596,b0261,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.716120124909325,0.303346575232138,b2836,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b0529,b2492,b0904,b2578,b1533,b3927,b0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.631969873956769,0.267700753184499,b3399,b4069,b2502,b2744,b3708,b3008,b3115,b1849,b2296,b1851,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b1533,b3927,b3821,b1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.691472722331685,0.140624346548887,b3399,b2744,b3708,b3008,b0871,b2926,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1600,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.628579777648344,0.26595467073696,b2836,b3399,b4069,b2744,b3708,b3008,b2297,b2458,b2926,b1850,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b1533,b3927,b1380,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.64415635574941,0.255956000334227,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b2779,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0452,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b2835,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.68208748139546,0.15656317739806,b3399,b4382,b2502,b4384,b2744,b3708,b3008,b0871,b2407,b1779,b0121,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0114,b0886,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.357504902036627,0.0810355408106198,b2836,b0474,b2518,b4384,b3708,b3008,b0871,b2925,b2097,b0030,b2407,b1779,b2690,b1982,b2688,b2797,b3117,b1814,b4471,b0261,b3945,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b2413,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.638380614653104,0.270416326030386,b3399,b2066,b4069,b4384,b2744,b3708,b3008,b0910,b3752,b2297,b2458,b1238,b2883,b1779,b1982,b2797,b3117,b1814,b4471,b2498,b2440,b1623,b0261,b4381,b2406,b4064,b4464,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
