Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.803163517547634,0.837532490671944,b1612,b1611,b4122,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803143615150374,0.837511736620364,b3942,b1732,b1479,b3236,b2463,b2210,b3551,b4219,b1832,b1778,b1710,b2480,b1206,b0606,b4209,,,,,,,,,,,,,,,,,,,,,,
15,0.803291116614729,0.834529501620763,b3942,b1732,b1479,b3844,b3236,b2463,b2210,b3551,b4219,b1832,b1778,b1710,b2480,b1206,b0606,,,,,,,,,,,,,,,,,,,,,,
31,0.58305941069367,2.16145969538246,b3942,b1732,b0474,b2518,b1241,b0351,b1479,b0871,b2925,b2097,b3236,b2463,b3962,b3946,b2210,b0825,b4267,b3551,b4219,b1832,b1778,b0114,b2492,b0904,b0325,b1710,b2480,b0508,b4266,b1206,b4209,,,,,,
31,0.580828859833481,0.423260154946803,b4467,b1478,b3942,b1732,b1241,b0351,b3831,b2779,b1004,b3713,b1109,b0046,b3236,b2463,b2210,b3551,b3945,b1602,b4219,b1832,b1778,b3915,b0529,b1380,b1710,b2480,b1695,b1206,b0606,b2285,b4209,,,,,,
35,0.478479604752006,0.917482249689163,b3553,b1478,b3942,b1732,b1241,b4069,b4384,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b1779,b2463,b2210,b1033,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b3915,b2492,b0904,b1380,b1710,b2480,b1206,b0606,b2285,b1007,,
37,0.449330109237292,1.48252268298534,b4467,b3942,b1732,b1241,b0351,b4069,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b2463,b2210,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b4381,b3915,b1727,b0529,b2492,b0904,b1380,b1710,b2480,b1511,b1206,b0606,b2285,b1010
