Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.0513741371681194,0.0431467032499044,Rv1448c,Rv1445c,
3,0.0513741371681194,0.0431467032499044,Rv1122,Rv1844c,Rv1448c
3,0.0513741371681194,0.0431467032499044,Rv1448c,Rv1121,Rv1447c
