Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.709451348390976,0.560792290065805,b2779,b2925,b2097,b0907,b1779,b1525,b3946,b0825,b2661,b4014,b2976,b0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.708002349814656,0.584839611667197,b0871,b2779,b2925,b2097,b3236,b2690,b3945,b4381,b0114,b0529,b2492,b0904,b0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.709455168978906,0.560768383707134,b2925,b2097,b3124,b1779,b1302,b2662,b3946,b0825,b4014,b2976,b0726,b2913,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.671783334506368,0.644328053470206,b1241,b0351,b4069,b2297,b2458,b3617,b3124,b0517,b0261,b4381,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.709455168978957,0.560768383707901,b2930,b4232,b3697,b3925,b2926,b1302,b2662,b3946,b0825,b4014,b2976,b0726,b2913,b0509,b3125,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.802015642759948,0.00156553442773694,b3708,b3008,b0871,b3124,b0517,b2797,b3117,b1814,b4471,b4381,b0114,b1539,b2492,b0904,b3821,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.80201564275995,0.00156553445558144,b3708,b3008,b0871,b3124,b0517,b2797,b3117,b1814,b4471,b2440,b4381,b0114,b1539,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.46560915447452,3.80807826767918,b4384,b2744,b0871,b2779,b2925,b2097,b2407,b2690,b4374,b2361,b2291,b3945,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.565256309003473,0.542091681536263,b1241,b0351,b4069,b3115,b1849,b2296,b2779,b3617,b0517,b0907,b1779,b0261,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.678378383643801,1.70407874951874,b3708,b3008,b0871,b2779,b2925,b2097,b0517,b2797,b3117,b1814,b4471,b3946,b0825,b4381,b0114,b2366,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.565236493175063,0.542199008077189,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b3124,b0517,b1779,b4388,b4381,b0114,b0755,b3612,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.565236493175063,0.542199008077189,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b3124,b0517,b1779,b4388,b4381,b0114,b0755,b3612,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
