CLJU_RS12835,CLJU_RS12840,,,,,,
CLJU_RS19990,CLJU_RS19995,,,,,,
CLJU_RS20745,CLJU_RS20755,CLJU_RS20740,CLJU_RS20735,,,,
CLJU_RS07875,CLJU_RS07880,,,,,,
CLJU_RS11880,CLJU_RS11885,,,,,,
CLJU_RS19400,CLJU_RS19405,,,,,,
CLJU_RS08530,CLJU_RS08535,,,,,,
CLJU_RS17715,CLJU_RS17720,,,,,,
CLJU_RS02330,CLJU_RS02325,,,,,,
CLJU_RS17595,CLJU_RS17590,,,,,,
CLJU_RS01165,CLJU_RS01170,CLJU_RS01160,,,,,
CLJU_RS01180,CLJU_RS01195,CLJU_RS01190,CLJU_RS01175,CLJU_RS01185,,,
CLJU_RS21510,CLJU_RS21515,,,,,,
CLJU_RS02150,CLJU_RS02155,,,,,,
CLJU_RS12420,CLJU_RS12425,,,,,,
CLJU_RS11600,CLJU_RS11610,CLJU_RS11605,,,,,
CLJU_RS14770,CLJU_RS14765,CLJU_RS14760,,,,,
CLJU_RS11755,CLJU_RS11750,CLJU_RS11760,,,,,
CLJU_RS11660,CLJU_RS11665,CLJU_RS11670,,,,,
CLJU_RS14130,CLJU_c28650,CLJU_RS14140,CLJU_RS14145,,,,
CLJU_RS11345,CLJU_RS11350,CLJU_RS11355,CLJU_RS11360,,,,
CLJU_RS11685,CLJU_RS11690,CLJU_RS11680,,,,,
CLJU_RS12800,CLJU_RS12795,,,,,,
CLJU_RS05805,CLJU_RS05810,,,,,,
CLJU_RS07210,CLJU_RS07205,CLJU_RS07215,,,,,
CLJU_RS03475,CLJU_RS03480,CLJU_RS03470,CLJU_RS03465,CLJU_RS03460,,,
CLJU_RS04490,CLJU_RS04480,CLJU_RS04485,,,,,
CLJU_RS19620,CLJU_RS19615,,,,,,
CLJU_RS18510,CLJU_RS18550,CLJU_RS18490,CLJU_RS18500,CLJU_RS18505,CLJU_RS18545,CLJU_RS18480,CLJU_RS18465
CLJU_RS08485,CLJU_RS08480,,,,,,
CLJU_RS15705,CLJU_RS15730,,,,,,
CLJU_RS05755,CLJU_RS05740,,,,,,
CLJU_RS15720,CLJU_RS15725,,,,,,
CLJU_RS04470,CLJU_RS04465,,,,,,
CLJU_RS19470,CLJU_RS19480,CLJU_RS19475,,,,,
CLJU_RS19495,CLJU_RS19490,,,,,,
CLJU_RS17580,CLJU_RS17575,,,,,,
CLJU_RS10880,CLJU_RS10870,CLJU_RS10875,,,,,
CLJU_RS10680,CLJU_RS10670,CLJU_RS10675,CLJU_RS10665,,,,
CLJU_RS08465,CLJU_RS08460,,,,,,
CLJU_RS18755,CLJU_RS18760,CLJU_RS18765,,,,,
CLJU_RS00615,CLJU_RS00625,CLJU_RS00620,,,,,
CLJU_RS18520,CLJU_RS18525,,,,,,
CLJU_RS10635,CLJU_RS10630,,,,,,
CLJU_RS05590,CLJU_RS05575,CLJU_RS05580,CLJU_RS05570,CLJU_RS05595,CLJU_RS05585,,
CLJU_RS06855,CLJU_RS06865,,,,,,
CLJU_RS11225,CLJU_RS11215,,,,,,
CLJU_RS16390,CLJU_RS16395,,,,,,
CLJU_RS15665,CLJU_RS15670,,,,,,
CLJU_RS12555,CLJU_RS12550,,,,,,
CLJU_RS13065,CLJU_RS13075,CLJU_RS13070,,,,,
CLJU_RS01495,CLJU_RS01500,,,,,,
CLJU_RS12725,CLJU_RS12720,,,,,,
