Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.780619458144087,0.076791320370869,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.775597752559985,0.076270532351744,b2836,b3399,b2744,b3708,b3008,b0871,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.639355766504596,0.0628948881352271,b4384,b3708,b3008,b3752,b0871,b2925,b2097,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b4381,b2406,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.775591857646167,0.0762967438185287,b3846,b2341,b4384,b3708,b3008,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.775591857646179,0.0762967438186108,b4382,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b0452,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.78319072364627,0.0682615608602866,b3399,b2744,b3708,b3008,b0871,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3825,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.639355766504603,0.0628948881355418,b4384,b3708,b3008,b3752,b0871,b2925,b2097,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b4381,b2406,b0114,b2366,b2492,b0904,b1533,b3927,b3825,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.632990748821349,0.0622250161814991,b3399,b2502,b2744,b3708,b3008,b0871,b2925,b2097,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b3945,b0452,b0114,b2366,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.775591857646181,0.0762967438186964,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b4381,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.510947002442665,0.509649197057004,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.508844025532218,0.507537890765355,b2836,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
