Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,
16,0.0597664933662381,0.0410572500511813,STM3646,STM2285,STM3526,STM1135,STM2167,STM2081,STM0974,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,,,
16,0.0260025352767652,0.0178507664764763,STM3646,STM1749,STM2463,STM1135,STM2167,STM2081,STM0974,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,,,
17,0.165252281017145,0.113528482310993,STM0620,STM1749,STM2463,STM1886,STM0169,STM0861,STM1511,STM1620,STM2167,STM1211,STM2317,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,,
17,0.0740352353897424,0.0508593187923647,STM1749,STM2463,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM0785,STM4184,STM1211,STM2317,STM0935,STM1480,STM2051,STM0007,STM2473,,,,,,,
17,0.0631880685628008,0.0434077387709741,STM1749,STM2463,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM0785,STM1211,STM2317,STM0935,STM1480,STM2051,STM0733,STM0007,STM2473,,,,,,,
17,0.0631880685628008,0.0434077387709741,STM1749,STM2463,STM1886,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM1211,STM2317,STM0935,STM1480,STM2051,STM0733,STM0007,STM2473,,,,,,,
17,0.0388096682404725,0.0266607285038357,STM2285,STM3526,STM1886,STM1620,STM2167,STM3542,STM4485,STM0974,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,,
17,0.0388096682404725,0.0266607285038357,STM2285,STM3526,STM1620,STM2167,STM3542,STM4485,STM0974,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,,
17,0.025976017081384,0.0178437313902402,STM1749,STM2463,STM0169,STM0861,STM1620,STM2167,STM0974,STM0785,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,,
17,0.083549240341922,0.0573950697006032,STM1749,STM2463,STM1570,STM1620,STM4036,STM2167,STM2081,STM0518,STM1211,STM2317,STM0935,STM1480,STM3248,STM0519,STM2051,STM0007,STM2473,,,,,,,
18,0.162977490758108,0.111965699128227,STM0620,STM1597,STM1749,STM2463,STM0737,STM2654,STM1756,STM0169,STM0861,STM1511,STM0785,STM4184,STM0935,STM1480,STM2338,STM2466,STM0007,STM2473,,,,,,
18,0.208531490008885,0.0873491402645717,STM0620,STM2792,STM1749,STM2463,STM0737,STM3091,STM0169,STM0861,STM1511,STM0785,STM4184,STM0542,STM0935,STM1480,STM2338,STM2466,STM0007,STM2473,,,,,,
18,0.122587379368983,0.0842176522137535,STM0620,STM0737,STM2654,STM3680,STM1886,STM0169,STM0861,STM4183,STM0542,STM2317,STM0935,STM1480,STM2338,STM2466,STM2791,STM0733,STM0007,STM2473,,,,,,
18,0.049547168975928,0.034036972745087,STM1749,STM2463,STM2285,STM3526,STM1570,STM1620,STM4036,STM2167,STM2081,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1480,STM0007,STM2473,,,,,,
18,0.0477524524801533,0.0328057916006248,STM4482,STM2285,STM3526,STM1886,STM3512,STM3541,STM1570,STM1620,STM4036,STM2167,STM1211,STM2317,STM0935,STM3179,STM1480,STM0733,STM0007,STM2473,,,,,,
18,0.0388394667633711,0.0266811989285336,STM3646,STM2285,STM3526,STM1886,STM1135,STM2167,STM3542,STM4485,STM0974,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,
18,0.0388394667633711,0.0266811989285336,STM3646,STM2285,STM3526,STM1135,STM2167,STM3542,STM4485,STM0974,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,
18,0.0259760200304813,0.0178443828163285,STM4482,STM1749,STM2463,STM1886,STM3512,STM3541,STM1620,STM2167,STM0974,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,
18,0.0761870223876737,0.0523375130881785,STM3646,STM2285,STM3526,STM0517,STM1135,STM1570,STM4036,STM2167,STM2081,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,
18,0.147378036967921,0.101248858775668,STM0620,STM1749,STM2463,STM0737,STM2654,STM2555,STM1886,STM0169,STM0861,STM1511,STM4184,STM0935,STM1480,STM2338,STM2466,STM3218,STM0007,STM2473,,,,,,
19,0.165445045114392,0.113660911438672,STM3646,STM0620,STM4482,STM1749,STM2463,STM3512,STM3541,STM1511,STM1135,STM2167,STM0785,STM1211,STM2317,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,
19,0.20817233766169,0.0759646267625628,STM0620,STM1749,STM2463,STM0737,STM1886,STM3091,STM1511,STM3542,STM4485,STM4183,STM0542,STM0935,STM1480,STM2338,STM2466,STM3218,STM0733,STM0007,STM2473,,,,,
19,0.0633361796778812,0.0435071102043729,STM1749,STM2463,STM2285,STM3526,STM1570,STM1620,STM4036,STM2167,STM2081,STM1448,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,
19,0.0495872771018219,0.0340645254658877,STM3646,STM1749,STM2463,STM2285,STM3526,STM1135,STM1570,STM4036,STM2167,STM2081,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1480,STM0007,STM2473,,,,,
19,0.0268007312649774,0.0184123971865334,STM3646,STM1749,STM2463,STM1135,STM1570,STM4036,STM2167,STM3542,STM4485,STM0785,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,
20,0.0633893178099746,0.043538382432419,STM3646,STM1749,STM2463,STM2285,STM3526,STM1135,STM1570,STM4036,STM2167,STM2081,STM1448,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,
20,0.0540640017463736,0.0371366168629949,STM3646,STM0620,STM1749,STM2463,STM0737,STM2555,STM0934,STM1135,STM2167,STM2081,STM4184,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM3218,STM0007,STM2473,,,,
20,0.04954715409065,0.0340305213793011,STM1749,STM2285,STM3526,STM1570,STM1620,STM4036,STM2167,STM2081,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1480,STM0007,STM2473,STM1627,STM1567,STM2461,,,,
21,0.0316458975755569,0.0217385480693017,STM1749,STM2463,STM2285,STM3526,STM0169,STM0861,STM1570,STM1620,STM4036,STM2167,STM1448,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,
22,0.0539867363001369,0.0370855676551981,STM0620,STM4482,STM1597,STM1749,STM2463,STM0737,STM2555,STM0934,STM3512,STM3541,STM1620,STM2167,STM0785,STM4184,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM0007,STM2473,,
23,0.128565321397786,0.0883245043601943,STM0620,STM4482,STM1749,STM2463,STM2285,STM3526,STM1886,STM3512,STM3541,STM1511,STM1620,STM2167,STM0150,STM4184,STM0568,STM1211,STM2317,STM3179,STM2338,STM2466,STM1937,STM0007,STM2473,
24,0.0144741169598301,0.00993717604910268,STM3646,STM1749,STM2555,STM2285,STM3526,STM0169,STM0861,STM1135,STM1570,STM4036,STM2167,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1480,STM0007,STM2473,STM1627,STM1567,STM2461
24,0.0144740747346303,0.00993031529667056,STM3646,STM1749,STM2555,STM2285,STM3526,STM1135,STM1570,STM4036,STM2167,STM3542,STM4485,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1480,STM0007,STM2473,STM1627,STM1567,STM2461
