Deletion size,Max growth rate,Min production rate,Deleted genes,,
3,0.273847302651057,0.0839453490470246,PHATRDRAFT_6834,PHATRDRAFT_51242,PHATRDRAFT_22117
3,0.273847302651057,0.0839453490470246,PHATRDRAFT_6834,PHATRDRAFT_35566,PHATRDRAFT_51242
