Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
9,0.224505698163915,0.1317121845818,YPO2066,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO3358,YPO0921,YPO0439,,,
9,0.240744218986675,0.0949476732926413,YPO2161,YPO3992,YPO0347,YPO0460,YPO2288,YPO3142,YPO2067,YPO0921,YPO0439,,,
9,0.237112124389987,0.10317084732922,YPO2161,YPO3992,YPO0347,YPO3142,YPO3358,YPO2559,YPO3141,YPO0920,YPO0921,,,
9,0.189050599034537,0.0160693447605809,YPO2157,YPO2161,YPO3992,YPO0347,YPO1845,YPO3142,YPO3358,YPO0920,YPO3834,,,
9,0.224794046281597,0.132632913883919,YPO0793,YPO2161,YPO3992,YPO0347,YPO2824,YPO3142,YPO3358,YPO0920,YPO0921,,,
9,0.2247940462816,0.132632913883229,YPO2161,YPO3992,YPO0347,YPO2824,YPO3142,YPO3358,YPO2074,YPO0920,YPO0921,,,
10,0.22479404628161,0.132632913888822,YPO2161,YPO3992,YPO0347,YPO2824,YPO3142,YPO3358,YPO2074,YPO3520,YPO0914,YPO1133,,
10,0.240744218986675,0.0890012910836049,YPO0461,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO2067,YPO0921,,
10,0.272069989921738,0.0173050343133525,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO3520,YPO0921,YPO2836,,
10,0.240744218986675,0.094947673292255,YPO2614,YPO3992,YPO0347,YPO0254,YPO0460,YPO2288,YPO3142,YPO2533,YPO0921,YPO0439,,
10,0.165842117050929,0.105930743158832,YPO2157,YPO2161,YPO3992,YPO0347,YPO2288,YPO2552,YPO3142,YPO3358,YPO3141,YPO3520,,
10,0.240744218986675,0.0949476732890276,YPO3949,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO2533,YPO0921,YPO0439,,
10,0.165842117050927,0.105930743157148,YPO2161,YPO3992,YPO0347,YPO2288,YPO2552,YPO3142,YPO3358,YPO3520,YPO0921,YPO3834,,
11,0.151925948054788,0.296034974286385,YPO2157,YPO2161,YPO3992,YPO0347,YPO0460,YPO2288,YPO2824,YPO0436,YPO3142,YPO0440,YPO1149,
11,0.211407900708533,0.161366001431361,YPO0357,YPO2066,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO0460,YPO2288,YPO3142,YPO0439,
11,0.231686728692622,0.0809623610164836,YPO0793,YPO0357,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO3358,YPO3376,YPO3520,YPO1389,
11,0.240744218986675,0.094947673290676,YPO2614,YPO3992,YPO0347,YPO0254,YPO0460,YPO2288,YPO3142,YPO0440,YPO2067,YPO0921,YPO1171,
11,0.224505698163909,0.131712184581151,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO3358,YPO0914,YPO1149,YPO1133,YPO1171,
12,0.224629009153259,0.125884668178004,YPO2614,YPO1541,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO2067,YPO3376,YPO0442
12,0.251316169201462,0.0710124523888931,YPO0918,YPO2161,YPO0254,YPO2288,YPO1109,YPO3142,YPO2295,YPO3358,YPO2559,YPO0921,YPO1149,YPO2836
