Deletion size,Max growth rate,Min production rate,Deleted genes,,,
1,0.216391720862947,0.597739499714924,CLJU_RS05135,,,
4,0.19468724499892,0.535487656744262,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS05590
4,0.19468724499892,0.535487656744262,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS05590
