Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.314016270584037,0.0247922607678399,PHATRDRAFT_draft521,PHATRDRAFT_31544,,
3,0.314016270583922,0.0247922607679936,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_23723,
3,0.314016270583922,0.0247922607679936,PHATRDRAFT_draft521,PHATRDRAFT_11319,PHATRDRAFT_12331,
3,0.314016270583924,0.0247922607679833,PHATRDRAFT_draft521,PHATRDRAFT_54478,PHATRDRAFT_12331,
3,0.314016270583924,0.024792260768239,PHATRDRAFT_draft521,PHATRDRAFT_48078,PHATRDRAFT_38946,
3,0.314016270583923,0.0247922607679548,PHATRDRAFT_draft521,PHATRDRAFT_54478,PHATRDRAFT_38946,
3,0.314016270583923,0.0247922607679796,PHATRDRAFT_draft521,PHATRDRAFT_22803,PHATRDRAFT_47293,
3,0.314016270583923,0.0247922607679548,PHATRDRAFT_draft521,PHATRDRAFT_54478,YP_874486_AT1,
3,0.314016270583926,0.0247922607679243,PHATRDRAFT_draft521,PHATRDRAFT_20310,PHATRDRAFT_20318,
3,0.314016270583923,0.0247922607679796,PHATRDRAFT_draft521,PHATRDRAFT_55069,PHATRDRAFT_35691,
3,0.314016270583841,0.0247922607679243,PHATRDRAFT_draft521,PHATRDRAFT_35691,PHATRDRAFT_42245,
3,0.314016270584118,0.0247922607678862,PHATRDRAFT_draft521,PHATRDRAFT_23913,PHATRDRAFT_35691,
3,0.314016270583925,0.0247922607681519,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_42245,
3,0.314016270583926,0.0247922607679243,PHATRDRAFT_draft521,PHATRDRAFT_20310,PHATRDRAFT_38946,
3,0.314016270584118,0.0247922607678862,PHATRDRAFT_draft521,PHATRDRAFT_23913,PHATRDRAFT_38085,
3,0.314016270584118,0.0247922607678862,PHATRDRAFT_draft521,PHATRDRAFT_23913,PHATRDRAFT_5423,
3,0.314016270583924,0.024792260768239,PHATRDRAFT_draft521,PHATRDRAFT_48078,PHATRDRAFT_20318,
3,0.314016270583922,0.0247922607679936,PHATRDRAFT_draft521,PHATRDRAFT_55069,PHATRDRAFT_12331,
3,0.314016270583923,0.0247922607679548,PHATRDRAFT_draft521,PHATRDRAFT_54478,PHATRDRAFT_20318,
3,0.314016270583923,0.0247922607679796,PHATRDRAFT_draft521,PHATRDRAFT_11319,PHATRDRAFT_47293,
3,0.314016270583923,0.0247922607679796,PHATRDRAFT_draft521,PHATRDRAFT_19979,PHATRDRAFT_35691,
3,0.314016270583923,0.0247922607679796,PHATRDRAFT_draft521,PHATRDRAFT_41969,PHATRDRAFT_20318,
4,0.314016270583928,0.0247922607678368,PHATRDRAFT_54015,PHATRDRAFT_47293,PHATRDRAFT_51970,PHATRDRAFT_28181
4,0.314016270583926,0.0247922607679505,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_28181,YP_874486_AT1
4,0.314016270583874,0.0247922607679444,PHATRDRAFT_54015,PHATRDRAFT_42245,PHATRDRAFT_28181,YP_874486_AT1
4,0.314016270583924,0.0247922607678956,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_35691,PHATRDRAFT_21970
4,0.314016270583867,0.0247922607680002,PHATRDRAFT_54015,PHATRDRAFT_47293,PHATRDRAFT_23723,PHATRDRAFT_21970
4,0.314016270583867,0.0247922607680002,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_21970,YP_874486_AT1
4,0.314016270583926,0.0247922607680069,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_47293,PHATRDRAFT_21970
4,0.314016270583924,0.0247922607680686,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_47293,PHATRDRAFT_21970
4,0.314016270583826,0.0247922607679387,PHATRDRAFT_54015,PHATRDRAFT_38085,PHATRDRAFT_35580,PHATRDRAFT_28181
4,0.314016270583826,0.0247922607679387,PHATRDRAFT_54015,PHATRDRAFT_20318,PHATRDRAFT_35580,PHATRDRAFT_28181
4,0.314016270583923,0.0247922607680069,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_47293,PHATRDRAFT_21970
