Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
3,0.346561928557951,0.00912060351631888,PHATRDRAFT_draft521,PHATRDRAFT_42245,YP_874486_AT1,,,,,,,
3,0.346561928557951,0.00912060351631888,PHATRDRAFT_draft521,PHATRDRAFT_38085,PHATRDRAFT_42245,,,,,,,
3,0.346561928556737,0.00912060351630639,PHATRDRAFT_draft521,PHATRDRAFT_20310,PHATRDRAFT_12331,,,,,,,
3,0.346561928557511,0.00912060351632148,PHATRDRAFT_draft521,PHATRDRAFT_23913,YP_874486_AT1,,,,,,,
3,0.346561928557504,0.00912060351636724,PHATRDRAFT_draft521,PHATRDRAFT_48078,PHATRDRAFT_35691,,,,,,,
3,0.346561928557507,0.00912060351631491,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_42245,,,,,,,
3,0.346561928557951,0.00912060351631888,PHATRDRAFT_draft521,PHATRDRAFT_35691,PHATRDRAFT_42245,,,,,,,
3,0.346561928557511,0.00912060351632148,PHATRDRAFT_draft521,PHATRDRAFT_23913,PHATRDRAFT_5423,,,,,,,
3,0.335756580948707,0.0166754490026185,PHATRDRAFT_draft521,PHATRDRAFT_49229,PHATRDRAFT_48078,,,,,,,
4,0.346561928556677,0.0091206035163068,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068,PHATRDRAFT_38085,,,,,,
4,0.346561928556677,0.0091206035163068,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068,PHATRDRAFT_38946,,,,,,
4,0.349475026121184,0.00708383405949683,PHATRDRAFT_draft521,PHATRDRAFT_49229,PHATRDRAFT_26290,PHATRDRAFT_18064,,,,,,
8,0.309585227000917,0.0349738455373848,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_8691,PHATRDRAFT_49339,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_20310,,
8,0.309585227000806,0.034973845537358,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_19708,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_42245,,
8,0.309585227000919,0.0349738455373857,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_8691,PHATRDRAFT_49339,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_25932,PHATRDRAFT_11014,,
9,0.194957862505499,0.0571968351808899,PHATRDRAFT_54219,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_draft1572,PHATRDRAFT_23913,PHATRDRAFT_8945,PHATRDRAFT_41686,
9,0.30958522700078,0.0349738455373369,PHATRDRAFT_23467,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_40430,PHATRDRAFT_draft1572,PHATRDRAFT_28191,PHATRDRAFT_25932,PHATRDRAFT_11014,
9,0.309585227000941,0.0349738455373797,PHATRDRAFT_45947,PHATRDRAFT_30519,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_28068,PHATRDRAFT_46728,
9,0.354474842315657,0.00358807990363064,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_26290,PHATRDRAFT_8691,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_51245,
10,0.309585227000891,0.0349738455373618,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_draft1572,PHATRDRAFT_19708,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_20310,PHATRDRAFT_8990
