Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586638,0.138058272536708,YBR263W,YOR184W,YKL184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586642,0.138058272335197,YMR189W,YLR017W,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586638,0.138058272285727,YMR009W,YBR263W,YGR208W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406697666,0.138058271461652,YBR263W,YGR208W,YLR017W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406697666,0.138058271461652,YOL052C,YBR263W,YGR208W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406697666,0.138058271461652,YOL052C,YBR263W,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406697666,0.138058271461652,YBR263W,YLR017W,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406565823,0.138058271194662,YMR009W,YMR189W,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406565823,0.138058271194662,YMR009W,YMR189W,YGR208W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406642153,0.138058273006006,YMR189W,YKL174C,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406688995,0.13805827318557,YBR263W,YKL174C,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586642,0.138058272335197,YOL052C,YMR189W,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586642,0.138058272335197,YOL052C,YMR189W,YGR208W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406503375,0.13805827135165,YMR189W,YOR184W,YKL184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406642153,0.138058273006006,YMR189W,YGR208W,YKL174C,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406558024,0.138058270839244,YBR263W,YPR069C,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406587074,0.138058273332363,YMR189W,YPR069C,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586638,0.138058272285727,YMR009W,YBR263W,YOR184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586638,0.138058272536708,YBR263W,YGR208W,YKL184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406558024,0.138058270839244,YBR263W,YGR208W,YPR069C,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406586642,0.138058272335197,YMR189W,YGR208W,YLR017W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406503375,0.13805827135165,YMR189W,YGR208W,YKL184W,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406587074,0.138058273332363,YMR189W,YGR208W,YPR069C,,,,,,,,,,,,,,,,,,,,,,,
3,0.244476406688995,0.13805827318557,YBR263W,YGR208W,YKL174C,,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406503375,0.13805827135165,YER081W,YMR189W,YIL074C,YKL184W,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406558024,0.138058270839244,YER081W,YIL074C,YBR263W,YPR069C,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406586642,0.138058272335197,YOL052C,YER081W,YMR189W,YIL074C,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406586638,0.138058272536708,YER081W,YIL074C,YBR263W,YKL184W,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406586638,0.138058272285727,YMR009W,YER081W,YIL074C,YBR263W,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406697666,0.138058271461652,YOL052C,YER081W,YIL074C,YBR263W,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406688995,0.13805827318557,YER081W,YIL074C,YBR263W,YKL174C,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406642153,0.138058273006006,YER081W,YMR189W,YIL074C,YKL174C,,,,,,,,,,,,,,,,,,,,,,
4,0.244476406586642,0.138058272335197,YER081W,YMR189W,YIL074C,YLR017W,,,,,,,,,,,,,,,,,,,,,,
6,0.244476406551952,0.138058271467802,YLR209C,YNL141W,YDR441C,YML022W,YMR189W,YGR208W,,,,,,,,,,,,,,,,,,,,
6,0.244476406586641,0.138058273343103,YLR209C,YNL141W,YDR441C,YML022W,YBR263W,YGR208W,,,,,,,,,,,,,,,,,,,,
8,0.195955387971299,0.00330478643313815,YPL061W,YOL052C,YJL060W,YOR120W,YIL111W,YNL052W,YPL262W,YJL121C,,,,,,,,,,,,,,,,,,
9,0.195955387978238,0.0033047871291675,YPL061W,YFL053W,YML070W,YDR272W,YBL045C,YPL262W,YLR231C,YJL121C,YKL184W,,,,,,,,,,,,,,,,,
9,0.195165443801083,0.0032914658580475,YPL061W,YOL052C,YEL047C,YOR120W,YIL111W,YNL052W,YLR231C,YMR250W,YJL121C,,,,,,,,,,,,,,,,,
9,0.179523450276939,0.012163018611807,YMR083W,YKL106W,YEL047C,YDR272W,YBL045C,YBR263W,YJR077C,YHR208W,YOR184W,,,,,,,,,,,,,,,,,
9,0.188442335646549,0.00317807882156718,YPL061W,YIL111W,YNL052W,YPL262W,YIL053W,YER062C,YJR078W,YKL174C,YJL121C,,,,,,,,,,,,,,,,,
9,0.180188120218669,0.0574205486967495,YPL061W,YEL047C,YDR272W,YBL045C,YIL053W,YER062C,YJL121C,YLR017W,YOR184W,,,,,,,,,,,,,,,,,
9,0.188442335663897,0.00317808156191823,YPL061W,YOL052C,YIL111W,YNL052W,YPL262W,YIL053W,YER062C,YJR078W,YJL121C,,,,,,,,,,,,,,,,,
9,0.179106891960277,0.066576867379406,YPL061W,YEL047C,YIL111W,YNL052W,YIL053W,YER062C,YJR078W,YKL174C,YJL121C,,,,,,,,,,,,,,,,,
9,0.195165443801083,0.0032914658580475,YPL061W,YOL052C,YJL060W,YEL047C,YOR120W,YIL111W,YNL052W,YMR250W,YJL121C,,,,,,,,,,,,,,,,,
9,0.195955387971299,0.00330478569375409,YPL061W,YFL053W,YML070W,YIL111W,YNL052W,YPL262W,YLR231C,YKL174C,YJL121C,,,,,,,,,,,,,,,,,
9,0.195955387971299,0.00330478668438125,YPL061W,YFL053W,YML070W,YJL060W,YIL111W,YNL052W,YPL262W,YJL121C,YPR069C,,,,,,,,,,,,,,,,,
9,0.195165443813227,0.00329146466337782,YPL061W,YEL047C,YOR120W,YIL111W,YNL052W,YJR078W,YKL174C,YJL121C,YBR006W,,,,,,,,,,,,,,,,,
10,0.180188120190914,0.0574205483645923,YPL061W,YEL047C,YOR120W,YLL043W,YBL045C,YER081W,YIL074C,YML004C,YJL121C,YKL184W,,,,,,,,,,,,,,,,
11,0.183051123095714,0.0583329019435905,YPL061W,YFL053W,YML070W,YGR019W,YER170W,YOL052C,YEL047C,YIL111W,YNL052W,YGR208W,YJL121C,,,,,,,,,,,,,,,
11,0.183051123095714,0.0583329030390493,YPL061W,YMR009W,YGR019W,YEL047C,YOR120W,YBL045C,YDL198C,YER081W,YIL074C,YML004C,YJL121C,,,,,,,,,,,,,,,
11,0.179106891974155,0.066576867596625,YPL061W,YOR120W,YLL043W,YDR272W,YBL045C,YIL155C,YJR078W,YJL121C,YKL141W,YMR118C,YKL184W,,,,,,,,,,,,,,,
12,0.205885898580283,0.00243563037883782,YPL061W,YGR019W,YKL192C,YDR148C,YJL060W,YOR120W,YIL155C,YJL121C,YPR069C,YDL085W,YMR145C,YML120C,,,,,,,,,,,,,,
12,0.182965612569154,0.0570347058043482,YPL061W,YML035C,YMR009W,YEL071W,YDL174C,YDL178W,YOR120W,YLL043W,YBL045C,YPL262W,YGR208W,YJL121C,,,,,,,,,,,,,,
13,0.206401133567185,0.00244172931580688,YPL061W,YGR019W,YBL045C,YIL155C,YIL053W,YER062C,YJR077C,YJR078W,YJL121C,YLR348C,YLR017W,YDL085W,YMR145C,,,,,,,,,,,,,
13,0.171860610920757,0.0493746957352923,YPL061W,YKL106W,YCR032W,YOR120W,YDR272W,YBL045C,YDL198C,YMR250W,YKL174C,YJL121C,YKL141W,YMR118C,YOR184W,,,,,,,,,,,,,
13,0.195560826657175,0.0224703507151937,YML035C,YAL054C,YCR032W,YCR010C,YML042W,YOR120W,YLL043W,YIL111W,YNL052W,YPL262W,YLR231C,YJL121C,YPR069C,,,,,,,,,,,,,
13,0.195387055587,0.0236945859156149,YML035C,YMR009W,YCR032W,YCR010C,YER170W,YML042W,YOR120W,YLL043W,YDR272W,YBL045C,YPL262W,YGR208W,YJL121C,,,,,,,,,,,,,
15,0.167624330936311,0.0534168462491834,YMR083W,YPL061W,YFL053W,YML070W,YKL192C,YCR010C,YDR272W,YBL045C,YIL155C,YMR250W,YJR077C,YKL174C,YJL121C,YML120C,YOR184W,,,,,,,,,,,
15,0.195387055566184,0.0236945934593678,YML035C,YCR032W,YCR010C,YER170W,YAR035W,YER024W,YDR272W,YBL045C,YPL262W,YIL053W,YER062C,YER081W,YIL074C,YJL121C,YPR069C,,,,,,,,,,,
15,0.201051318493896,0.00237843550416113,YMR083W,YMR170C,YMR169C,YPL061W,YKL192C,YIL155C,YIL053W,YER062C,YJR078W,YJL121C,YLR348C,YBR006W,YDL085W,YMR145C,YML120C,,,,,,,,,,,
15,0.182436896162756,0.00133544402159254,YMR083W,YPL061W,YFL053W,YML070W,YKL192C,YBL045C,YIL155C,YJR077C,YBR166C,YML004C,YKL174C,YJL121C,YBR006W,YML120C,YOR184W,,,,,,,,,,,
15,0.199939386810302,0.00337197768832673,YPL061W,YDR148C,YJL060W,YDR272W,YBL045C,YIL155C,YIL053W,YER062C,YDL198C,YMR250W,YJR077C,YJL121C,YPR069C,YDL085W,YMR145C,,,,,,,,,,,
26,0.180670019514933,0.021909851417119,YBR068C,YMR083W,YDR046C,YBR069C,YDR380W,YDL080C,YDR508C,YKL192C,YCR032W,YCR010C,YCL025C,YML042W,YKR039W,YOR120W,YIL111W,YNL052W,YOL059W,YJR077C,YMR267W,YKL174C,YJL121C,YBR006W,YML120C,YOR377W,YGR177C,YOR184W
