Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,
9,0.0473281826565323,0.0489683201819273,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0118c,Rv1837c,Rv0694,Rv3150,,,,,,,
10,0.0216465503996663,0.0069610754766149,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1475c,,,,,,
10,0.0473281826842878,0.0489688682386356,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv1475c,,,,,,
10,0.0454854908370666,0.496056050109963,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0191,Rv0084,,,,,,
10,0.0253906684140914,0.00816507980557582,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv0118c,,,,,,
10,0.0464312721466815,0.00837133703750853,Rv2443,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0694,Rv3150,Rv3290c,Rv2589,,,,,,
10,0.02539066848348,0.00816510026744985,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv0118c,,,,,,
10,0.0253906683585802,0.00816507150610693,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv0118c,,,,,,
10,0.0473281826565321,0.0489688006102305,Rv2443,Rv1902c,Rv1188,Rv1248c,Rv0118c,Rv1837c,Rv0694,Rv3150,Rv3290c,Rv2589,,,,,,
10,0.02539066848348,0.00816510073311114,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv0118c,,,,,,
10,0.0216465503857886,0.00696130692099044,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv1475c,,,,,,
10,0.0216465503996663,0.00696110670804207,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1475c,,,,,,
10,0.021646550427422,0.00696110118479632,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv1475c,,,,,,
10,0.0216465503996663,0.00696110808489182,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1475c,,,,,,
10,0.0473281826565323,0.048968886175492,Rv2443,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv3150,Rv1915,Rv0467,Rv3290c,Rv2589,,,,,,
10,0.0473281826287767,0.0489688303404944,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0118c,Rv1837c,Rv0191,Rv1872c,Rv3150,,,,,,
10,0.0216465503857886,0.00696130769709185,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1475c,,,,,,
10,0.0464312721388752,0.00837155430882569,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1240,Rv1188,Rv0211,Rv0191,Rv1872c,Rv3150,,,,,,
10,0.0464312721258648,0.00837142348640976,Rv2443,Rv3432c,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0191,Rv1872c,Rv3150,,,,,,
10,0.0473281826842878,0.0489686603251045,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv1475c,,,,,,
10,0.045485490785025,0.496056334424032,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv0084,,,,,,
10,0.0454854908613527,0.496056257682222,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv0084,,,,,,
10,0.0253906684140914,0.00816508659696626,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv0118c,,,,,,
10,0.0473281826842878,0.0489683869776951,Rv2443,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv1872c,Rv3150,Rv1475c,Rv3290c,Rv2589,,,,,,
10,0.0253906684140914,0.00816508613130497,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1832,Rv0118c,,,,,,
10,0.047328182767554,0.0489686430816476,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0191,Rv1475c,,,,,,
10,0.0473281827397989,0.0489688344659019,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0694,Rv1475c,,,,,,
11,0.022781160967223,0.00732594662192372,Rv1445c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1248c,Rv1475c,,,,,
11,0.025390668677769,0.00816519739754195,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1915,Rv0467,,,,,
11,0.0227811610088562,0.00732597448397256,Rv1445c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1475c,,,,,
11,0.0253906684418467,0.00816509574805202,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv0118c,Rv3290c,Rv2589,,,,,
11,0.0253906686638913,0.0081652237796333,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1915,Rv0467,,,,,
11,0.021646550427422,0.00696114980632236,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,,
11,0.0464312721466815,0.0083715543474886,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0694,,,,,
11,0.0253906686638913,0.00816530682295262,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1915,Rv0467,,,,,
11,0.045485490785025,0.496056324373414,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv0084,Rv3290c,Rv2589,,,,,
11,0.0231128211773883,0.00743274618317104,Rv1448c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1475c,,,,,
11,0.022781160967223,0.00732594662192372,Rv1445c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1475c,,,,,
11,0.0227811609949786,0.00732594129703096,Rv1445c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv1475c,,,,,
11,0.0231128211773883,0.00743260111831338,Rv1448c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1475c,,,,,
11,0.021646550427422,0.00696114941827055,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,,
11,0.0473281827120429,0.0489685092715615,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv1915,Rv0467,,,,,
11,0.0464312721223953,0.00837146008103207,Rv2443,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0191,Rv1872c,Rv3150,Rv3290c,Rv2589,,,,,
11,0.0231128211773883,0.00743258228806485,Rv1448c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv1475c,,,,,
11,0.0253906686638913,0.0081652237796333,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1915,Rv0467,,,,,
11,0.0473281826842878,0.0489687995535958,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv1475c,Rv3290c,Rv2589,,,,,
11,0.0473281828091875,0.0489686388970463,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0191,Rv1915,Rv0467,,,,,
11,0.0361545798739067,0.215479803393369,Rv3303c,Rv2443,Rv1826,Rv3777,Rv2332,Rv1188,Rv0211,Rv0694,Rv3150,Rv3601c,Rv1475c,,,,,
11,0.0231128211773882,0.00743260181680572,Rv1448c,Rv3010c,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1475c,,,,,
11,0.0253906684418467,0.00816509574805202,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv0118c,Rv3290c,Rv2589,,,,,
11,0.0473281826565323,0.0489688075951498,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0118c,Rv1837c,Rv0694,,,,,
11,0.0231128211773883,0.00743274525184846,Rv1448c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1248c,Rv1475c,,,,,
11,0.0253906684418467,0.00816510851909051,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv0118c,Rv3290c,Rv2589,,,,,
11,0.0464312721328037,0.00837142108162617,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1240,Rv1188,Rv0211,Rv0191,,,,,
11,0.0253906686500135,0.00816515475893892,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv1915,Rv0467,,,,,
11,0.0231128211773882,0.00743259995416057,Rv1448c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv1475c,,,,,
11,0.025390668677769,0.00816519739754195,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv1915,Rv0467,,,,,
11,0.0473281827536766,0.0489687380779464,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1188,Rv0118c,Rv1837c,Rv0191,,,,,
11,0.0227811610088562,0.00732589043829803,Rv1445c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv1475c,,,,,
12,0.0227811609949786,0.00732594129703096,Rv1122,Rv1844c,Rv3010c,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1475c,,,,
12,0.0227811610088562,0.00732589043829803,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv2211c,Rv1240,Rv1121,Rv1447c,Rv1248c,Rv1475c,,,,
12,0.0227811609949786,0.00732594129703096,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv1121,Rv1447c,Rv1475c,,,,
12,0.022781160967223,0.00732594662192372,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1121,Rv1447c,Rv1248c,Rv1475c,,,,
12,0.022781160967223,0.00732594662192372,Rv1122,Rv1844c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1248c,Rv1475c,,,,
12,0.0227811609949786,0.00732594129703096,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv1475c,,,,
12,0.0361545798739067,0.215479688850951,Rv2443,Rv1826,Rv0753c,Rv3777,Rv2332,Rv1832,Rv1188,Rv0211,Rv0694,Rv0522,Rv3150,Rv1475c,,,,
12,0.0253906684557246,0.00816512437958316,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1248c,Rv1915,Rv0467,Rv3290c,Rv2589,,,,
12,0.0344172279775368,0.0138896044289765,Rv1448c,Rv1445c,Rv2443,Rv3777,Rv2332,Rv1188,Rv0211,Rv0694,Rv3150,Rv3601c,Rv0084,Rv1475c,,,,
12,0.022781160967223,0.00732594662192372,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1832,Rv1121,Rv1447c,Rv1248c,Rv1475c,,,,
12,0.0227811609255896,0.00732589996687002,Rv1445c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,
12,0.0352070319901062,0.0449764548017796,Rv2443,Rv2332,Rv1188,Rv0211,Rv2200c,Rv0694,Rv1607,Rv1311,Rv3150,Rv3601c,Rv0084,Rv1475c,,,,
12,0.0231128211773883,0.00743257129258688,Rv1448c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,
12,0.0227811610088562,0.00732589043829803,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv1475c,,,,
12,0.0253906684557246,0.00816512414675252,Rv2443,Rv1826,Rv1704c,Rv1236,Rv2332,Rv1240,Rv1832,Rv1248c,Rv1915,Rv0467,Rv3290c,Rv2589,,,,
12,0.0352070319901062,0.0449764548017796,Rv2443,Rv2332,Rv1188,Rv0211,Rv2194,Rv0694,Rv1607,Rv1311,Rv3150,Rv3601c,Rv0084,Rv1475c,,,,
12,0.0231128211773883,0.00743260155260191,Rv1448c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,
12,0.0227811609255896,0.00732589996687002,Rv1445c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,
12,0.0464312721414773,0.00837147209390094,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1240,Rv1188,Rv1248c,Rv0211,Rv0191,Rv3290c,Rv2589,,,,
12,0.0227811610088562,0.00732597448397256,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1475c,,,,
13,0.022781160967223,0.00732591117841406,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1121,Rv1447c,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,
13,0.0254698712266234,0.0434690006126339,Rv1445c,Rv3010c,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv0118c,Rv3339c,Rv0066c,,,
13,0.0254698712266234,0.0434690006126339,Rv1445c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv0118c,Rv3339c,Rv0066c,,,
13,0.0361545798739067,0.215479661477387,Rv3303c,Rv2443,Rv1826,Rv0753c,Rv3777,Rv1902c,Rv2332,Rv1188,Rv0211,Rv1872c,Rv0522,Rv3150,Rv1475c,,,
14,0.0227811610088562,0.00732597448397256,Rv1445c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1915,Rv0467,Rv3339c,Rv0066c,,
14,0.0231128211773883,0.00743261580782756,Rv1448c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv0118c,Rv1837c,Rv3339c,Rv0066c,,
14,0.0231128211773883,0.0074326005183395,Rv1448c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1832,Rv0118c,Rv1837c,Rv3339c,Rv0066c,,
14,0.0254698712266234,0.0434690006126339,Rv3010c,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1121,Rv1447c,Rv0118c,Rv3339c,Rv0066c,,
14,0.0254698712266234,0.0434690214482195,Rv1445c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv0118c,Rv3339c,Rv0066c,Rv3290c,Rv2589,,
14,0.0231128211773883,0.00743261013896904,Rv1448c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv0118c,Rv1837c,Rv3339c,Rv0066c,,
14,0.0231128211773883,0.00743274525184846,Rv1448c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv3432c,Rv2332,Rv1240,Rv1248c,Rv1915,Rv0467,Rv3339c,Rv0066c,,
14,0.0231128211773883,0.00743260111831338,Rv1448c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1915,Rv0467,Rv3339c,Rv0066c,,
15,0.0263318957102983,0.00520143460633839,Rv1448c,Rv1445c,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv3307,Rv1248c,Rv0118c,Rv2202c,Rv3290c,Rv2589,
15,0.0221257960363583,0.00711519119139336,Rv1122,Rv1844c,Rv3010c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv2697c,Rv2967c,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv0118c,Rv0211,
15,0.0231128211773883,0.00743259785083317,Rv1448c,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv1240,Rv1248c,Rv0118c,Rv1837c,Rv3339c,Rv0066c,Rv3290c,Rv2589,
15,0.0263318957102983,0.00520142442291593,Rv1122,Rv1844c,Rv1448c,Rv3010c,Rv3303c,Rv2443,Rv0234c,Rv1731,Rv1826,Rv1704c,Rv2332,Rv1240,Rv3307,Rv0118c,Rv2202c,
15,0.0254698712266234,0.0434690214482195,Rv3010c,Rv2443,Rv1826,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1121,Rv1447c,Rv1248c,Rv0118c,Rv3339c,Rv0066c,Rv3290c,Rv2589,
16,0.0221257960363585,0.0071151974778212,Rv1445c,Rv3010c,Rv2443,Rv1826,Rv2697c,Rv2967c,Rv1704c,Rv2332,Rv2211c,Rv1240,Rv1248c,Rv0211,Rv1915,Rv0467,Rv3290c,Rv2589
