Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.050886231785768,0.042736940845452,Rv1448c,Rv1445c,
3,0.050886231785768,0.042736940845452,Rv1122,Rv1844c,Rv1448c
3,0.050886231785768,0.042736940845452,Rv1448c,Rv1121,Rv1447c
