Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.627011432998483,0.830936713545298,b3073,b3124,b1493,b3517,b4014,b2976,b0726,b0529,b0514,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.709455168978947,0.560768383722339,b2779,b2925,b2097,b2926,b2690,b1302,b2662,b4014,b2976,b0726,b3945,b4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.486888461701433,2.48804915885389,b0871,b2925,b2097,b3946,b0825,b2868,b0114,b0755,b3612,b0529,b2492,b0904,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.640131490421549,2.06060947727799,b4069,b3115,b1849,b2296,b2779,b2925,b2097,b3236,b2690,b3945,b4388,b4381,b0114,b2492,b0904,b1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.671764204077178,0.00153598907693991,b3553,b1241,b0351,b4069,b2297,b2458,b3617,b0517,b1033,b2943,b0114,b0509,b3125,b2492,b0904,b1517,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.692316066431648,0.466483509591228,b2930,b4232,b3697,b3925,b2297,b2458,b2779,b3236,b0907,b1302,b2662,b3946,b2210,b0825,b4014,b2976,b0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.6757521839603,1.76069181230543,b3708,b3008,b0871,b2779,b2925,b2097,b0517,b2797,b3117,b1814,b4471,b3946,b0825,b0114,b1539,b2492,b0904,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.699266556158799,0.293672882446699,b4382,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b2925,b2097,b2407,b3236,b3946,b0825,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.556017956731358,0.0166087182038272,b3403,b1479,b2779,b2925,b2097,b1850,b1779,b2690,b2463,b1493,b3517,b0726,b3945,b4388,b1444,b0529,b0118,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.48827633780558,0.481323282764034,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b3124,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.493608126033792,0.473158558368277,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.569834399934884,0.463608292883409,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2779,b2926,b3617,b2407,b0517,b0261,b4388,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.556017956731307,0.0166087181954543,b3553,b3403,b1479,b2779,b2925,b2097,b1850,b2463,b1525,b0331,b3946,b0825,b1033,b2661,b0726,b4388,b0509,b3125,b0529,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
