Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.747658816126269,0.316646019451407,b2836,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b1539,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,
25,0.606005809566496,0.906699832209677,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b4381,b2406,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,
26,0.578321047944369,0.925246880652729,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b0030,b2883,b0907,b1982,b3616,b3589,b1623,b0411,b4381,b2868,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,
26,0.605957438894524,0.907033451984787,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b2868,b0114,b1539,b2492,b0904,b1533,b1511,,,,,,,,,,,,,,,,,,,,,,,
26,0.541948134821706,0.883423107565313,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b2925,b2097,b3617,b0030,b2407,b3236,b0517,b2690,b1982,b2210,b3945,b2406,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,
26,0.749021692259836,0.298070236284844,b2836,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b4381,b2406,b2868,b0114,b1539,b2492,b0904,b1533,b3927,b1511,,,,,,,,,,,,,,,,,,,,,,,
26,0.694724534429962,0.159877420264345,b3399,b4382,b4384,b2744,b3708,b3008,b0871,b2779,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0114,b2366,b0529,b2492,b0904,b2947,b1533,b3927,b3821,b1511,,,,,,,,,,,,,,,,,,,,,,,
27,0.584968273075255,1.12107619369726,b3399,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2883,b1982,b0477,b1623,b4374,b2361,b2291,b0261,b0411,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,
27,0.538643451550163,0.874121096715966,b4382,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b1241,b0351,b4384,b2744,b0871,b2926,b0030,b2407,b3236,b1982,b3616,b3589,b0411,b0114,b0529,b2492,b0904,b0515,b1511,,,,,,,,,,,,,,,,,,,,,,
27,0.477005561412723,0.200762609484918,b2836,b4069,b4384,b3708,b0512,b2297,b2458,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,b1518,b2285,,,,,,,,,,,,,,,,,,,,,,
27,0.773325023010881,0.177903473088233,b2836,b4384,b3708,b3008,b0512,b0871,b0030,b2407,b1982,b2688,b2797,b3117,b1814,b4471,b4381,b2406,b0511,b0114,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,
27,0.498758584953601,0.114779645658452,b4384,b2744,b3708,b3008,b0871,b2926,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0411,b4381,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b2835,b0494,b1511,b2285,,,,,,,,,,,,,,,,,,,,,,
28,0.729598189722427,0.309490201703774,b4382,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1982,b2797,b3117,b1814,b4471,b0411,b2406,b2943,b0452,b0511,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b0516,b1518,b0221,,,,,,,,,,,,,,,,,,,,,
28,0.631136850194464,0.267347886709612,b4382,b4069,b4384,b3708,b3752,b2297,b2458,b2925,b2097,b2926,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b0261,b3945,b2406,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,
28,0.543236484033635,0.230393147931928,b2836,b4069,b4384,b2744,b3708,b2297,b2458,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0411,b4381,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3437,b4268,b1511,b2285,,,,,,,,,,,,,,,,,,,,,
28,0.564206180470033,0.224569105322749,b3399,b4069,b2744,b3708,b3008,b2297,b2458,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b4381,b2406,b0114,b2366,b2492,b0904,b1533,b3927,b3825,b0494,b0515,b1518,b2285,,,,,,,,,,,,,,,,,,,,,
28,0.480613696533108,0.202319942717926,b4382,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2407,b0517,b1982,b2797,b3117,b1814,b4471,b2440,b0505,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,b1517,b2285,,,,,,,,,,,,,,,,,,,,,
28,0.65706829239829,0.19115990266379,b2836,b3399,b4382,b4069,b4384,b2744,b3708,b0512,b2297,b2458,b2779,b0030,b2407,b3236,b1982,b2797,b3117,b1814,b4471,b2210,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b1511,,,,,,,,,,,,,,,,,,,,,
