Rv2281,Rv0545c,,,,,,,,,,,,
Rv2397c,Rv2398c,Rv2399c,Rv2400c,,,,,,,,,,
Rv0951,Rv0952,,,,,,,,,,,,
Rv3317,Rv3318,Rv3316,,,,,,,,,,,
Rv3010c,Rv2029c,,,,,,,,,,,,
Rv3303c,Rv0794c,,,,,,,,,,,,
Rv2496c,Rv2497c,,,,,,,,,,,,
Rv0391,Rv1079,,,,,,,,,,,,
Rv2834c,Rv2835c,Rv2833c,Rv2832c,,,,,,,,,,
Rv3859c,Rv3858c,,,,,,,,,,,,
Rv1286,Rv1285,,,,,,,,,,,,
Rv1493,Rv1492,,,,,,,,,,,,
Rv0570,Rv1981c,,,,,,,,,,,,
Rv1878,Rv2220,Rv2860c,Rv2222c,,,,,,,,,,
Rv3051c,Rv3048c,,,,,,,,,,,,
Rv1236,Rv1237,Rv1238,,,,,,,,,,,
Rv1416,Rv1412,,,,,,,,,,,,
Rv2381c,Rv2383c,Rv2380c,Rv2382c,Rv2379c,Rv2378c,Rv2384,,,,,,,
Rv0619,Rv0618,,,,,,,,,,,,
Rv3757c,Rv3756c,Rv3758c,Rv3759c,,,,,,,,,,
Rv0788,Rv0803,,,,,,,,,,,,
Rv3455c,Rv2793c,,,,,,,,,,,,
Rv2934,Rv2932,Rv2935,Rv2933,Rv2931,,,,,,,,,
Rv1849,Rv1850,Rv1848,,,,,,,,,,,
Rv2455c,Rv2454c,,,,,,,,,,,,
Rv2501c,Rv2247,,,,,,,,,,,,
Rv2321c,Rv2322c,,,,,,,,,,,,
Rv1612,Rv1613,,,,,,,,,,,,
Rv2503c,Rv2504c,,,,,,,,,,,,
Rv2200c,Rv1451,Rv3043c,Rv2193,,,,,,,,,,
Rv3372,Rv2006,,,,,,,,,,,,
Rv2194,Rv2196,Rv2195,,,,,,,,,,,
Rv0253,Rv0252,Rv2391,,,,,,,,,,,
Rv1163,Rv1162,Rv1161,Rv1164,,,,,,,,,,
Rv0374c,Rv0375c,Rv0373c,,,,,,,,,,,
Rv2317,Rv2318,Rv2316,,,,,,,,,,,
Rv0156,Rv0157,Rv0155,,,,,,,,,,,
Rv1031,Rv1030,Rv1029,,,,,,,,,,,
Rv1311,Rv1305,Rv1304,Rv1307,Rv1309,Rv1306,Rv1310,Rv1308,,,,,,
Rv3150,Rv3147,Rv3156,Rv3158,Rv3149,Rv3153,Rv0082,Rv3157,Rv3148,Rv3152,Rv3145,Rv3154,Rv3155,Rv3146
Rv2988c,Rv2987c,,,,,,,,,,,,
Rv1843c,Rv3410c,Rv3411c,,,,,,,,,,,
Rv2246,Rv2245,,,,,,,,,,,,
Rv1915,Rv1916,,,,,,,,,,,,
Rv3293,Rv0768,,,,,,,,,,,,
Rv3793,Rv3795,Rv3794,,,,,,,,,,,
Rv2394,Rv0773c,,,,,,,,,,,,
Rv1555,Rv1553,Rv1554,Rv1552,,,,,,,,,,
Rv1349,Rv1348,,,,,,,,,,,,
Rv2899c,Rv2900c,,,,,,,,,,,,
Rv3790,Rv3791,,,,,,,,,,,,
Rv1662,Rv1663,,,,,,,,,,,,
Rv2524c,Rv2947c,Rv1350,Rv1484,,,,,,,,,,
Rv0859,Rv0860,Rv0468,,,,,,,,,,,
Rv1623c,Rv1622c,Rv1621c,Rv1620c,,,,,,,,,,
Rv1319c,Rv1318c,Rv1320c,,,,,,,,,,,
Rv0255c,Rv3713,,,,,,,,,,,,
Rv0013,Rv1005c,,,,,,,,,,,,
