Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.391625281038298,0.586471781993646,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b1238,b2883,b2797,b3117,b1814,b4471,b0596,b1623,b3665,b0411,b3709,b4381,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b3821,b1473,b4141,b1798,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.391659357387433,0.586435080750653,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b2407,b2797,b3117,b1814,b4471,b0595,b0261,b1701,b1805,b3709,b2406,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.391776719041465,0.586172409261428,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b4014,b0261,b2976,b0507,b3709,b2406,b3161,b0112,b0114,b2366,b2492,b0904,b0591,b1533,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.390421858516524,0.584582162554101,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1238,b2797,b3117,b1814,b4471,b0595,b3665,b0261,b3709,b4381,b2406,b3161,b0112,b0452,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b1473,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.671195275282013,0.213800697197376,b4069,b4384,b3708,b3008,b3115,b1849,b2296,b0030,b2407,b1238,b2797,b3117,b1814,b4471,b0595,b3665,b0261,b3709,b4381,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.746740030430762,0.103410202241931,b2836,b3399,b2744,b3708,b3008,b0871,b0160,b2797,b3117,b1814,b4471,b0596,b1623,b3665,b4374,b0675,b2361,b2291,b0411,b3709,b3161,b0112,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b1517,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.746742203306763,0.103386428179117,b2836,b4382,b0586,b4384,b3708,b3008,b3752,b0871,b2407,b2797,b3117,b1814,b4471,b3449,b3709,b2239,b2406,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.746994910580528,0.102852952358982,b2836,b3553,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b0121,b1982,b2797,b3117,b1814,b4471,b1033,b2440,b0596,b0261,b3709,b2406,b3161,b0112,b0114,b0886,b0509,b3125,b1539,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b3662,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.558763901614861,0.0773017673253992,b2836,b4382,b0586,b4384,b2744,b3708,b3008,b0871,b2407,b2797,b3117,b1814,b4471,b0261,b3709,b2406,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b3662,b2285,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.751278322377589,0.104038674896035,b0586,b4384,b2744,b3708,b3008,b0871,b2407,b1238,b2797,b3117,b1814,b4471,b3709,b4381,b2406,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b1473,b0494,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
