LLMG_RS09715,LLMG_RS09720,,,,,,
LLMG_RS05990,LLMG_RS05995,,,,,,
LLMG_RS05325,LLMG_RS05330,,,,,,
LLMG_RS07450,LLMG_RS07455,,,,,,
LLMG_RS05085,LLMG_RS05090,,,,,,
LLMG_RS08920,LLMG_RS08940,LLMG_RS08930,LLMG_RS08925,,,,
LLMG_RS00670,LLMG_RS00675,,,,,,
LLMG_RS08575,LLMG_RS08960,,,,,,
LLMG_RS05235,LLMG_RS05240,,,,,,
LLMG_RS05855,LLMG_RS05860,,,,,,
LLMG_RS06540,LLMG_RS06550,,,,,,
LLMG_RS09920,LLMG_RS09915,,,,,,
LLMG_RS06510,LLMG_RS06500,,,,,,
LLMG_RS01620,LLMG_RS01625,,,,,,
LLMG_RS09740,LLMG_RS09760,LLMG_RS09745,LLMG_RS09735,LLMG_RS09750,LLMG_RS09765,LLMG_RS09755,LLMG_RS09730
LLMG_RS03810,LLMG_RS03820,LLMG_RS03815,,,,,
LLMG_RS04565,LLMG_RS05530,,,,,,
LLMG_RS02240,LLMG_RS02225,LLMG_RS02230,,,,,
LLMG_RS01760,LLMG_RS01755,,,,,,
LLMG_RS08550,LLMG_RS08555,,,,,,
LLMG_RS00140,LLMG_RS00150,,,,,,
LLMG_RS05770,LLMG_RS05775,LLMG_RS05780,,,,,
LLMG_RS06715,LLMG_RS06725,LLMG_RS06720,LLMG_RS06730,,,,
LLMG_RS08170,LLMG_RS08165,,,,,,
LLMG_RS09330,LLMG_RS09335,,,,,,
LLMG_RS09320,LLMG_RS09325,,,,,,
LLMG_RS04070,LLMG_RS04060,LLMG_RS04065,,,,,
LLMG_RS07765,LLMG_RS07760,,,,,,
LLMG_RS00390,LLMG_RS00395,,,,,,
LLMG_RS12135,LLMG_RS12140,,,,,,
LLMG_RS00405,LLMG_RS00400,,,,,,
LLMG_RS06170,LLMG_RS06165,LLMG_RS06175,LLMG_RS06160,,,,
LLMG_RS08710,LLMG_RS08705,,,,,,
LLMG_RS10005,LLMG_RS03285,,,,,,
LLMG_RS01335,LLMG_RS01350,,,,,,
LLMG_RS02600,LLMG_RS11990,,,,,,
LLMG_RS05615,LLMG_RS05610,,,,,,
LLMG_RS11025,LLMG_RS11030,,,,,,
LLMG_RS09515,LLMG_RS09495,LLMG_RS09510,LLMG_RS09500,LLMG_RS09490,LLMG_RS09505,,
LLMG_RS05280,LLMG_RS05285,,,,,,
LLMG_RS04955,LLMG_RS04960,LLMG_RS04965,,,,,
LLMG_RS01785,LLMG_RS01790,LLMG_RS01795,LLMG_RS01800,,,,
LLMG_RS12110,LLMG_RS05635,,,,,,
LLMG_RS12035,LLMG_RS12025,LLMG_RS12030,,,,,
LLMG_RS09365,LLMG_RS09360,,,,,,
LLMG_RS00845,LLMG_RS09370,,,,,,
LLMG_RS09375,LLMG_RS09380,,,,,,
LLMG_RS00930,LLMG_RS00940,LLMG_RS00935,,,,,
