Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,
2,0.0505199438325207,0.00287402456580434,Rv0408,Rv1475c,,,,,,,,,
3,0.0496430782401951,0.00282414445351753,Rv1240,Rv0408,Rv0211,,,,,,,,
4,0.0497478483484952,0.00283009234422463,Rv0408,Rv0211,Rv1837c,Rv1623c,,,,,,,
4,0.0496430782401953,0.00282414491918992,Rv0408,Rv1098c,Rv0211,Rv1837c,,,,,,,
5,0.0477078642768683,0.72678480537402,Rv0234c,Rv1731,Rv1902c,Rv0211,Rv1475c,,,,,,
5,0.0497478483484957,0.00283009986780908,Rv0408,Rv0211,Rv1915,Rv0467,Rv1623c,,,,,,
5,0.0477078642803377,0.726784805582184,Rv3432c,Rv1902c,Rv1248c,Rv0211,Rv1475c,,,,,,
5,0.0476013632542457,0.701882075435518,Rv3432c,Rv1902c,Rv1240,Rv1248c,Rv0211,,,,,,
5,0.0480974973861071,0.00273617812441452,Rv0408,Rv0118c,Rv0211,Rv1837c,Rv0694,,,,,,
5,0.0505199438273165,0.00287401731549435,Rv0408,Rv0118c,Rv1837c,Rv3339c,Rv0066c,,,,,,
5,0.0505199438325207,0.00287402456580434,Rv0408,Rv1915,Rv0467,Rv3339c,Rv0066c,,,,,,
5,0.0496430782124401,0.00282414122575991,Rv0408,Rv1098c,Rv0211,Rv1915,Rv0467,,,,,,
5,0.048097497413863,0.00273625971921026,Rv0408,Rv0211,Rv0694,Rv1915,Rv0467,,,,,,
5,0.0477078643254405,0.726784816739665,Rv0234c,Rv1731,Rv1902c,Rv0211,Rv1837c,,,,,,
5,0.0480974971640632,0.00273615013641858,Rv1902c,Rv0408,Rv0118c,Rv0211,Rv1837c,,,,,,
5,0.047601363240368,0.701882115879867,Rv0234c,Rv1731,Rv1902c,Rv1240,Rv0211,,,,,,
5,0.0477078642803375,0.726784776192659,Rv3432c,Rv1902c,Rv1248c,Rv0211,Rv1837c,,,,,,
5,0.04845825819926,0.696515586005244,Rv0234c,Rv1731,Rv1902c,Rv1240,Rv1475c,,,,,,
5,0.0480974973305962,0.00273619822589163,Rv1902c,Rv0408,Rv0211,Rv1915,Rv0467,,,,,,
5,0.0484582582148724,0.696515295931262,Rv3432c,Rv1902c,Rv1240,Rv1248c,Rv1475c,,,,,,
6,0.0498302544108261,0.00283477989483793,Rv3432c,Rv0408,Rv1248c,Rv0211,Rv1915,Rv0467,,,,,
6,0.0498302544108261,0.00283479456791846,Rv3432c,Rv0408,Rv1248c,Rv0118c,Rv0211,Rv1837c,,,,,
6,0.047601363240368,0.701882344441058,Rv1902c,Rv1240,Rv1248c,Rv0211,Rv3290c,Rv2589,,,,,
6,0.047707864280338,0.726784693474227,Rv0234c,Rv1731,Rv1902c,Rv0211,Rv1915,Rv0467,,,,,
6,0.0484582582426281,0.696515587721844,Rv2443,Rv3432c,Rv1902c,Rv1098c,Rv1248c,Rv1475c,,,,,
6,0.0477078642248264,0.726784799936012,Rv1902c,Rv1248c,Rv0211,Rv1837c,Rv3290c,Rv2589,,,,,
6,0.0484582582148727,0.696515520221987,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1098c,Rv1475c,,,,,
6,0.0498302543969482,0.00283476166566785,Rv0234c,Rv1731,Rv0408,Rv0118c,Rv0211,Rv1837c,,,,,
6,0.0477078642803377,0.726784769454629,Rv3432c,Rv1902c,Rv1248c,Rv0211,Rv1915,Rv0467,,,,,
6,0.0486777243056187,0.840067974923565,Rv0234c,Rv1731,Rv1902c,Rv1240,Rv0118c,Rv1837c,,,,,
6,0.049830254410826,0.00283477954559107,Rv0234c,Rv1731,Rv0408,Rv0211,Rv1915,Rv0467,,,,,
6,0.048458258256506,0.696515465147681,Rv1902c,Rv1240,Rv1248c,Rv1475c,Rv3290c,Rv2589,,,,,
6,0.0486777243056187,0.840068180172208,Rv3432c,Rv1902c,Rv1240,Rv1248c,Rv1915,Rv0467,,,,,
6,0.0477078642803377,0.72678486435898,Rv1902c,Rv1248c,Rv0211,Rv1475c,Rv3290c,Rv2589,,,,,
6,0.0486777242778632,0.840068137232189,Rv3432c,Rv1902c,Rv1240,Rv1248c,Rv0118c,Rv1837c,,,,,
7,0.048677724277863,0.840068202492384,Rv2443,Rv3432c,Rv1902c,Rv1098c,Rv1248c,Rv1915,Rv0467,,,,
7,0.0486777242778633,0.840068235445866,Rv2443,Rv3432c,Rv1902c,Rv1098c,Rv1248c,Rv0118c,Rv1837c,,,,
7,0.048677724305619,0.840068730409497,Rv2443,Rv0234c,Rv1731,Rv1902c,Rv1098c,Rv0118c,Rv1837c,,,,
7,0.0477078642803377,0.726784826776235,Rv1902c,Rv1248c,Rv0211,Rv1915,Rv0467,Rv3290c,Rv2589,,,,
7,0.0498302544108261,0.00283477986077718,Rv0408,Rv1248c,Rv0211,Rv1915,Rv0467,Rv3290c,Rv2589,,,,
7,0.0486777243056192,0.840067975854887,Rv1902c,Rv1240,Rv1248c,Rv1915,Rv0467,Rv3290c,Rv2589,,,,
8,0.050519943818643,0.00287404344224263,Rv2443,Rv2332,Rv1240,Rv0408,Rv1098c,Rv0118c,Rv3339c,Rv0066c,,,
8,0.0484141964043475,0.711339959310996,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0694,Rv3150,Rv1475c,,,
8,0.0486777243056187,0.840068589391761,Rv2443,Rv1902c,Rv1098c,Rv1248c,Rv1915,Rv0467,Rv3290c,Rv2589,,,
8,0.0484141963765923,0.711339736256244,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv1872c,Rv3150,Rv1475c,,,
9,0.0486243800480815,0.849010400607536,Rv2443,Rv3432c,Rv1902c,Rv1188,Rv1248c,Rv0118c,Rv1837c,Rv0694,Rv3150,,
9,0.0486777242917411,0.840068214272403,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1098c,Rv1248c,Rv0118c,Rv3290c,Rv2589,,
10,0.0378823871262697,0.00215510357766579,Rv2332,Rv1240,Rv0408,Rv0118c,Rv2194,Rv1607,Rv1311,Rv3339c,Rv0066c,Rv1623c,
10,0.0378823871609637,0.00215511498834104,Rv2332,Rv1240,Rv0408,Rv0118c,Rv2200c,Rv1607,Rv1311,Rv3339c,Rv0066c,Rv1623c,
10,0.0503849611086639,0.00286635362240938,Rv2443,Rv2332,Rv1240,Rv0408,Rv1188,Rv0118c,Rv1872c,Rv3150,Rv3339c,Rv0066c,
10,0.0378823871609637,0.00215511498834104,Rv2332,Rv1240,Rv0408,Rv0118c,Rv2200c,Rv0107c,Rv1311,Rv3339c,Rv0066c,Rv1623c,
10,0.0378823871262697,0.00215510357766579,Rv2332,Rv1240,Rv0408,Rv0118c,Rv2194,Rv0107c,Rv1311,Rv3339c,Rv0066c,Rv1623c,
10,0.0383888792712898,0.00218383509490756,Rv2332,Rv1240,Rv0408,Rv1098c,Rv0118c,Rv2200c,Rv1311,Rv3339c,Rv0066c,Rv1623c,
11,0.0503849611086636,0.00286635377719666,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv0408,Rv1188,Rv0118c,Rv3339c,Rv0066c
