Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
8,0.271668994498135,0.731086741264562,YPO4078,YPO2066,YPO1177,YPO1569,YPO1617,YPO2552,YPO1109,YPO2303,,
9,0.283558381214824,0.397010273829253,YPO4078,YPO2066,YPO1177,YPO1569,YPO1617,YPO2552,YPO2303,YPO3376,YPO4056,
9,0.283558381214823,0.366705923394522,YPO4078,YPO1177,YPO1569,YPO3516,YPO1617,YPO2552,YPO1109,YPO2303,YPO0920,
9,0.283558381214824,0.406713074528063,YPO1384,YPO4078,YPO2157,YPO1177,YPO1569,YPO1617,YPO2552,YPO2303,YPO1149,
9,0.21059303912091,1.43046904792577,YPO4078,YPO1177,YPO1569,YPO1617,YPO2552,YPO1109,YPO2303,YPO3520,YPO4056,
9,0.283558381214824,0.397010273829253,YPO4078,YPO1177,YPO1569,YPO1617,YPO2552,YPO2303,YPO4056,YPO1149,YPO1133,
10,0.283167543681894,0.662592158444674,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO3516,YPO2824,YPO1617,YPO2552,YPO2303
10,0.200278020875024,1.29810773575873,YPO1384,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO1617,YPO2552,YPO2303,YPO3520
10,0.280228385540099,0.947673299854841,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO3516,YPO1617,YPO2552,YPO2303,YPO3520
10,0.283558381214823,0.29093865621918,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO3516,YPO1617,YPO2552,YPO2303,YPO2533
10,0.280228385540103,0.947673299873819,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO3516,YPO1617,YPO2552,YPO2303,YPO0920
10,0.256944752420925,2.16483975187599,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO3516,YPO1617,YPO2552,YPO2303,YPO1149
10,0.283558381214821,0.290938656219615,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO3516,YPO1617,YPO2552,YPO2303,YPO2067
